split,target,rows,rmse,mae
train,all,200000,0.1369129403581377,0.06827126648483328
train,yN,200000,0.06382457322678596,0.023303385543078182
train,yF,200000,0.13616910807200436,0.07356160793073475
train,yT,200000,0.19683235491252352,0.09701541861347854
train,sigma_N,200000,0.06418633314344929,0.018261736870201925
train,sigma_F,200000,0.042328760100713285,0.018223194586703507
train,sigma_T,200000,0.07385732179596703,0.03410994784623575
train,delta_yN,200000,0.10880111528662564,0.04250045789889991
train,delta_yF,200000,0.2293306805521646,0.13314993052430452
train,delta_yT,200000,0.31688621613300555,0.1743157185498625
validation,all,50000,0.15343097080932674,0.08474295776255097
validation,yN,50000,0.08551489759301584,0.04391207617878914
validation,yF,50000,0.13813548943077808,0.07632434597074986
validation,yT,50000,0.20900923416482275,0.11397437057197093
validation,sigma_N,50000,0.09778474634477767,0.03993899047324654
validation,sigma_F,50000,0.046160934817040915,0.020156282967872606
validation,sigma_T,50000,0.08552947711083894,0.044099118282796834
validation,delta_yN,50000,0.14485964072161486,0.07907700442969799
validation,delta_yF,50000,0.2348273931989178,0.13929824027061463
validation,delta_yT,50000,0.33905692390213377,0.2059061907172203
test,all,50000,0.15911082577106553,0.08927259884582692
test,yN,50000,0.09362212309108908,0.04985359921485186
test,yF,50000,0.14045016169451488,0.07754086894541978
test,yT,50000,0.20763364682419266,0.11455281660467387
test,sigma_N,50000,0.11111730208561241,0.04802318258705717
test,sigma_F,50000,0.047676767802852835,0.021037319756450505
test,sigma_T,50000,0.08309018514840343,0.04376307501849922
test,delta_yN,50000,0.15983862403319826,0.09050054241538048
test,delta_yF,50000,0.24239783821470476,0.14398030930906533
test,delta_yT,50000,0.3461707830450217,0.214201675761044
