target,blend_weight,validation_rows,validation_mae,validation_rmse,selection_metric,selection_objective
yN,0.2,50000,0.044176308898925785,0.08302911588993633,balanced,1.017736936060127
yF,0.2,50000,0.0772407684326172,0.1337902134844423,balanced,1.0291884836168335
yT,0.5,50000,0.11807749649047852,0.1900308594990579,balanced,1.0358089067805236
sigma_N,0.0,50000,0.03993899047851563,0.09778474566318178,balanced,1.0
sigma_F,0.0,50000,0.020156282424926758,0.0461609353468388,balanced,1.0017538104055803
sigma_T,0.0,50000,0.044099116821289065,0.08552947447623485,balanced,1.0
delta_yN,1.0,50000,0.0484425700378418,0.08510127407155721,balanced,1.0
delta_yF,1.0,50000,0.0855176824951172,0.1344524837924135,balanced,1.0
delta_yT,1.0,50000,0.1329075427246094,0.2031685375328806,balanced,1.0
