calibration_version,target_event,split,rollout_horizon_months,score_column,threshold,rows,positive_rows,positive_rate,predicted_positive_rows,predicted_positive_rate,tn,fp,fn,tp,precision,recall,specificity,macro_f1,fbeta,pr_auc,roc_auc,brier
pipe_grud_rollout_alert_calibration_v0,bloom_h,test,1,rollout_probability_bloom_calibrated,0.15384615384615385,11852,1473,0.12428282146473169,2595,0.2189503881201485,8998,1381,259,1214,0.4678227360308285,0.8241683638832314,0.8669428654012911,0.7566667127362041,0.7152114999410863,0.6621253336440173,0.9295548017312885,0.061902872831083935
pipe_grud_rollout_alert_calibration_v0,bloom_h,test,2,rollout_probability_bloom_calibrated,0.16494845360824742,11891,1544,0.1298461020940207,3147,0.2646539399545875,8523,1824,221,1323,0.4204003813155386,0.8568652849740933,0.8237170194259206,0.7284701492691474,0.7095355572240696,0.6261838643286985,0.9155948559092745,0.06980026999573069
pipe_grud_rollout_alert_calibration_v0,bloom_h,test,3,rollout_probability_bloom_calibrated,0.13,11939,1594,0.13351201943211324,3925,0.32875450205209816,7839,2506,175,1419,0.3615286624203822,0.8902132998745295,0.7577573707104882,0.6840958361402307,0.6887680807688574,0.5961408605926453,0.9057974776120941,0.07523019198169083
pipe_grud_rollout_alert_calibration_v0,bloom_h,validation,1,rollout_probability_bloom_calibrated,0.15384615384615385,14212,1841,0.12953841823810863,3471,0.24423022797635802,10361,2010,380,1461,0.4209161624891962,0.7935904399782727,0.8375232398350982,0.7233329084771067,0.6742039686202123,0.6023863735812155,0.8962179864589308,0.07177968488936698
pipe_grud_rollout_alert_calibration_v0,bloom_h,validation,2,rollout_probability_bloom_calibrated,0.16494845360824742,14325,1892,0.13207678883071552,3976,0.2775567190226876,9963,2470,386,1506,0.37877263581488935,0.7959830866807611,0.8013351564385104,0.6939651527710231,0.6522869022869023,0.5713120746686616,0.8814839080813541,0.07750523851973228
pipe_grud_rollout_alert_calibration_v0,bloom_h,validation,3,rollout_probability_bloom_calibrated,0.13,14352,1898,0.1322463768115942,4689,0.32671404682274247,9341,3113,322,1576,0.33610577948389847,0.8303477344573235,0.7500401477436968,0.6616039494448143,0.6416415601335396,0.550658446634439,0.8751482801281953,0.08002694404486242
pipe_grud_rollout_alert_calibration_v0,irc_alert,test,1,alert_probability_irc,0.1171875,13327,4444,0.33345839273654987,6661,0.4998124108951752,6393,2490,273,4171,0.6261822549166792,0.9385688568856886,0.7196892941573793,0.7867484206801876,0.8534189957850801,0.8894117101944761,0.9350853651727887,0.09129972723371726
pipe_grud_rollout_alert_calibration_v0,irc_alert,test,2,alert_probability_irc,0.125,13327,4616,0.34636452314849553,7644,0.5735724469122834,5482,3229,201,4415,0.5775771847200418,0.9564558058925476,0.6293192515210653,0.740967325745887,0.8455262754711198,0.8768913915820358,0.9238805191030206,0.10379253418078666
pipe_grud_rollout_alert_calibration_v0,irc_alert,test,3,alert_probability_irc,0.1640625,13327,4750,0.35641929916710435,7505,0.5631424926840249,5548,3029,274,4476,0.5964023984010659,0.9423157894736842,0.6468462166258598,0.7505432131277305,0.8443689869835881,0.8702172439900886,0.919088995661592,0.11228176554029179
pipe_grud_rollout_alert_calibration_v0,irc_alert,validation,1,alert_probability_irc,0.1171875,16260,5860,0.36039360393603936,8679,0.5337638376383764,7066,3334,515,5345,0.6158543611015094,0.9121160409556314,0.6794230769230769,0.7606022442493894,0.8320620193654845,0.8353545591978366,0.8966304394197953,0.12296413970609432
pipe_grud_rollout_alert_calibration_v0,irc_alert,validation,2,alert_probability_irc,0.125,16260,5873,0.3611931119311193,9773,0.6010455104551046,6105,4282,382,5491,0.5618540877928988,0.9349565809637324,0.5877539231731973,0.7127515378132312,0.825341950999549,0.8099594151296231,0.882926430766326,0.1316348142729474
pipe_grud_rollout_alert_calibration_v0,irc_alert,validation,3,alert_probability_irc,0.1640625,16260,5817,0.3577490774907749,9317,0.5730012300123001,6478,3965,465,5352,0.5744338306321778,0.9200618875709129,0.6203198314660539,0.7262394513609326,0.821236765382845,0.7945336896817818,0.8768697714128142,0.13651314110187002
