trial_id,status,return_code,elapsed_seconds,history_length,hidden_dim,mse_weight,learning_rate,random_seed,best_epoch,best_validation_objective,best_validation_loss,best_validation_rmse_all,best_validation_mae_all,sampled_train_windows,sampled_validation_windows,sampled_test_windows,model_path,report_path,manifest_path,train_rows,train_rmse,train_mae,train_nll,train_interval_90_coverage,validation_rows,validation_rmse,validation_mae,validation_nll,validation_interval_90_coverage,test_rows,test_rmse,test_mae,test_nll,test_interval_90_coverage,train_rmse_relative_improvement,train_mae_relative_improvement,validation_rmse_relative_improvement,validation_mae_relative_improvement,test_rmse_relative_improvement,test_mae_relative_improvement,selection_rank
h03_hd096_mse0p25_lr0p001_seed1729,completed,0,140.01281113899313,3,96,0.25,0.001,1729,18,0.7761899110253354,-3.0369526165482963,0.11949275628204473,0.06384332190613003,1065877,116097,86069,models/pipe_grud/sweep_trials/pipe_grud_sweep_v0/h03_hd096_mse0p25_lr0p001_seed1729/pipe_grud_model.pt,reports/pipe_grud/sweep_trials/pipe_grud_sweep_v0/h03_hd096_mse0p25_lr0p001_seed1729/pipe_grud_report.md,reports/pipe_grud/sweep_trials/pipe_grud_sweep_v0/h03_hd096_mse0p25_lr0p001_seed1729/pipe_grud_manifest.json,1065877,0.1111594974643962,0.0577862500176874,-2.7019166798202,0.9484138934938606,116097,0.1194927562820447,0.06384332190613,-2.551069400532519,0.946412626223474,86069,0.1258631248034583,0.0682358693257577,-2.3352750227019965,0.9454907625793776,0.2659774913617396,0.1818537834334158,0.2593934752789495,0.1882267026703796,0.2503805299519648,0.1748402174865109,18
h06_hd064_mse1_lr0p001_seed1729,completed,0,79.05745275799563,6,64,1.0,0.001,1729,20,0.7772841625579358,-3.2923916114433283,0.11382421181153377,0.06135737241667589,602390,54637,40606,models/pipe_grud/sweep_trials/pipe_grud_sweep_v0/h06_hd064_mse1_lr0p001_seed1729/pipe_grud_model.pt,reports/pipe_grud/sweep_trials/pipe_grud_sweep_v0/h06_hd064_mse1_lr0p001_seed1729/pipe_grud_report.md,reports/pipe_grud/sweep_trials/pipe_grud_sweep_v0/h06_hd064_mse1_lr0p001_seed1729/pipe_grud_manifest.json,602390,0.1038107556905675,0.0549625762486963,-2.9518257788162914,0.9471101224566588,54637,0.1138242118115337,0.0613573724166758,-2.7758374302018165,0.9521345933667252,40606,0.1157105153481348,0.0623630887073375,-2.6141952239663397,0.9558576455586748,0.2699704353292375,0.1834906319429253,0.259302944938918,0.1861287299452104,0.2522170555751243,0.1719920680818445,19
h06_hd096_mse0p5_lr0p001_seed1729,completed,0,81.25104293799814,6,96,0.5,0.001,1729,16,0.7776884010714411,-3.1697308562507387,0.11365390871060728,0.06150187179277279,602390,54637,40606,models/pipe_grud/sweep_trials/pipe_grud_sweep_v0/h06_hd096_mse0p5_lr0p001_seed1729/pipe_grud_model.pt,reports/pipe_grud/sweep_trials/pipe_grud_sweep_v0/h06_hd096_mse0p5_lr0p001_seed1729/pipe_grud_report.md,reports/pipe_grud/sweep_trials/pipe_grud_sweep_v0/h06_hd096_mse0p5_lr0p001_seed1729/pipe_grud_manifest.json,602390,0.103908839853132,0.0553440190331955,-2.860649919806377,0.9451850130314248,54637,0.1136539087106072,0.0615018717927727,-2.6779906880757065,0.953145304464008,40606,0.1156584960496988,0.0623939997608636,-2.506365427409074,0.9568782938481998,0.2692806769509102,0.1778240197100471,0.2604111714165402,0.1842120264405775,0.2525532319721822,0.171581655479871,20
h03_hd064_mse1_lr0p001_seed1729,completed,0,132.2632775059974,3,64,1.0,0.001,1729,19,0.7777815768181322,-3.0889996465698606,0.11985666352797016,0.06391629535533727,1065877,116097,86069,models/pipe_grud/sweep_trials/pipe_grud_sweep_v0/h03_hd064_mse1_lr0p001_seed1729/pipe_grud_model.pt,reports/pipe_grud/sweep_trials/pipe_grud_sweep_v0/h03_hd064_mse1_lr0p001_seed1729/pipe_grud_report.md,reports/pipe_grud/sweep_trials/pipe_grud_sweep_v0/h03_hd064_mse1_lr0p001_seed1729/pipe_grud_manifest.json,1065877,0.1113995143066644,0.0577237634517808,-2.7074987207568117,0.945525088208531,116097,0.1198566635279701,0.0639162953553372,-2.5814926912815075,0.9453139281041812,86069,0.1261726809801102,0.0684092932010557,-2.3883735987262544,0.9438447963584772,0.2643925816716473,0.1827384774128155,0.2571380073400437,0.1872988390236919,0.2485368657536205,0.172743044714513,21
h12_hd064_mse0p25_lr0p001_seed1729,completed,0,51.274464964997605,12,64,0.25,0.001,1729,18,0.7783988443223993,-3.2650336062011687,0.11786620967637984,0.06284293737152574,378557,22087,17420,models/pipe_grud/sweep_trials/pipe_grud_sweep_v0/h12_hd064_mse0p25_lr0p001_seed1729/pipe_grud_model.pt,reports/pipe_grud/sweep_trials/pipe_grud_sweep_v0/h12_hd064_mse0p25_lr0p001_seed1729/pipe_grud_report.md,reports/pipe_grud/sweep_trials/pipe_grud_sweep_v0/h12_hd064_mse0p25_lr0p001_seed1729/pipe_grud_manifest.json,378557,0.0996592626696038,0.052590361890112,-3.024708118238184,0.9473805940863742,22087,0.1178662096763798,0.0628429373715257,-2.77101792159502,0.9409607461402636,17420,0.1134715102148927,0.0609738557949131,-2.5216825491799004,0.948182166092614,0.2647599285240409,0.1848828595313144,0.2515436067439764,0.191658704611225,0.2445930461801292,0.1726954034573929,22
h06_hd064_mse0p25_lr0p001_seed1729,completed,0,81.32678741199925,6,64,0.25,0.001,1729,18,0.7785958167069671,-3.271921795198718,0.11406031972204612,0.06143931066692465,602390,54637,40606,models/pipe_grud/sweep_trials/pipe_grud_sweep_v0/h06_hd064_mse0p25_lr0p001_seed1729/pipe_grud_model.pt,reports/pipe_grud/sweep_trials/pipe_grud_sweep_v0/h06_hd064_mse0p25_lr0p001_seed1729/pipe_grud_report.md,reports/pipe_grud/sweep_trials/pipe_grud_sweep_v0/h06_hd064_mse0p25_lr0p001_seed1729/pipe_grud_manifest.json,602390,0.1038345804326555,0.0549719699390528,-2.9420416412672683,0.9471459058454196,54637,0.1140603197220461,0.0614393106669246,-2.754874579947429,0.9520308785458776,40606,0.1157978223710786,0.0624574848237067,-2.5914569669290524,0.9556031675669168,0.2698028923229352,0.1833510817853419,0.257766501758598,0.1850418648274678,0.2516528311181727,0.1707387508598136,23
h03_hd064_mse0p25_lr0p001_seed1729,completed,0,128.0571734740006,3,64,0.25,0.001,1729,17,0.7791549565681456,-3.054070091922582,0.12023881401297697,0.06394604123690278,1065877,116097,86069,models/pipe_grud/sweep_trials/pipe_grud_sweep_v0/h03_hd064_mse0p25_lr0p001_seed1729/pipe_grud_model.pt,reports/pipe_grud/sweep_trials/pipe_grud_sweep_v0/h03_hd064_mse0p25_lr0p001_seed1729/pipe_grud_report.md,reports/pipe_grud/sweep_trials/pipe_grud_sweep_v0/h03_hd064_mse0p25_lr0p001_seed1729/pipe_grud_manifest.json,1065877,0.1118003287607883,0.0577872125044994,-2.6887172924380285,0.943188462542009,116097,0.1202388140129769,0.0639460412369027,-2.55763860887287,0.943637169301915,86069,0.1267643074156997,0.0685114218721004,-2.359645127097458,0.94200002323717,0.2617458727729429,0.1818401564037421,0.2547694692677164,0.1869206175959924,0.2450132388310762,0.1715080275187144,24
h03_hd064_mse0p5_lr0p001_seed1729,completed,0,130.63120695100224,3,64,0.5,0.001,1729,19,0.7793862365245033,-3.0953939843888554,0.12022405401757043,0.06398961476856263,1065877,116097,86069,models/pipe_grud/sweep_trials/pipe_grud_sweep_v0/h03_hd064_mse0p5_lr0p001_seed1729/pipe_grud_model.pt,reports/pipe_grud/sweep_trials/pipe_grud_sweep_v0/h03_hd064_mse0p5_lr0p001_seed1729/pipe_grud_report.md,reports/pipe_grud/sweep_trials/pipe_grud_sweep_v0/h03_hd064_mse0p5_lr0p001_seed1729/pipe_grud_manifest.json,1065877,0.1118232981952569,0.0578483379103025,-2.683247766408829,0.9419862183389308,116097,0.1202240540175704,0.0639896147685626,-2.590003822031574,0.9420522876942938,86069,0.126708670455784,0.0684795613964909,-2.3980881765294884,0.9407000326611336,0.2615941980866119,0.1809747339290425,0.2548609505360631,0.1863665764149302,0.2453446031482437,0.1718933085063303,25
h06_hd064_mse0p5_lr0p001_seed1729,completed,0,81.8249878179995,6,64,0.5,0.001,1729,18,0.7796018653599355,-3.262009046342473,0.11420912983813869,0.06151799726611976,602390,54637,40606,models/pipe_grud/sweep_trials/pipe_grud_sweep_v0/h06_hd064_mse0p5_lr0p001_seed1729/pipe_grud_model.pt,reports/pipe_grud/sweep_trials/pipe_grud_sweep_v0/h06_hd064_mse0p5_lr0p001_seed1729/pipe_grud_report.md,reports/pipe_grud/sweep_trials/pipe_grud_sweep_v0/h06_hd064_mse0p5_lr0p001_seed1729/pipe_grud_manifest.json,602390,0.1041242727784692,0.0552314981203821,-2.902959570466076,0.9463442841569968,54637,0.1142091298381386,0.0615179972661197,-2.7616102945664154,0.9524172670941344,40606,0.1159093207160558,0.0624258505040713,-2.599191073394005,0.9560464518106244,0.2677656855258552,0.179495600368836,0.2567981382355931,0.183998131044536,0.2509322694608792,0.1711587664190471,26
h12_hd064_mse1_lr0p001_seed1729,completed,0,51.63951480900141,12,64,1.0,0.001,1729,19,0.7835123499024113,-3.2654342880372944,0.11770625952566283,0.06371697964323353,378557,22087,17420,models/pipe_grud/sweep_trials/pipe_grud_sweep_v0/h12_hd064_mse1_lr0p001_seed1729/pipe_grud_model.pt,reports/pipe_grud/sweep_trials/pipe_grud_sweep_v0/h12_hd064_mse1_lr0p001_seed1729/pipe_grud_report.md,reports/pipe_grud/sweep_trials/pipe_grud_sweep_v0/h12_hd064_mse1_lr0p001_seed1729/pipe_grud_manifest.json,378557,0.0993489450861551,0.0534201528396787,-3.0283766958057576,0.9503207061434752,22087,0.1177062595256628,0.0637169796432335,-2.749082651462285,0.945397745280029,17420,0.1133061642203941,0.0620915123289193,-2.4928486621718973,0.9531955606582472,0.2670493085186677,0.1720216278970683,0.2525592982914956,0.1804160019036819,0.245693793969543,0.1575308320868499,27
