hypothesis_id,hypothesis_text,decisive_experiments,estimand,population,model_or_pair,availability_state,attempted_denominator,successful_denominator,metric,estimate,uncertainty,multiplicity_family,verdict,limitation_code,evidence_paths,authority_commit
H4:mcar_50:h2:bloom_h,MIFAL as a robustness contrast,E6,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,location_holdout,M0_vs_P1:mcar_50:h2:bloom_h,model_unavailable,44880,0,bloom_h,,,B,not_estimable,NO_M0_P1_SHARED_SUCCESS,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/06_degradation/failure_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
H4:mcar_50:h2:irc_alert_h,MIFAL as a robustness contrast,E6,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,location_holdout,M0_vs_P1:mcar_50:h2:irc_alert_h,model_unavailable,44880,0,irc_alert_h,,,B,not_estimable,NO_M0_P1_SHARED_SUCCESS,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/06_degradation/failure_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
H4:mcar_50:h3:bloom_h,MIFAL as a robustness contrast,E6,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,location_holdout,M0_vs_P1:mcar_50:h3:bloom_h,model_unavailable,44880,0,bloom_h,,,B,not_estimable,NO_M0_P1_SHARED_SUCCESS,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/06_degradation/failure_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
H4:mcar_50:h3:irc_alert_h,MIFAL as a robustness contrast,E6,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,location_holdout,M0_vs_P1:mcar_50:h3:irc_alert_h,model_unavailable,44880,0,irc_alert_h,,,B,not_estimable,NO_M0_P1_SHARED_SUCCESS,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/06_degradation/failure_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
H5a:H_D_clarity_mild_vs_no_action,Planning capability,E9,observation_weighted_mean_exact_common_origins_all_horizons,locked_location_holdout,clarity_mild_vs_no_action,model_unavailable,13464,0,delta_objective_vs_no_action,,,D,not_confirmed_scientifically,NO_SHARED_SUCCESS_OR_ESTIMABLE_RANKING,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv;reports/closure_v1/09_planning/planning_bootstrap.csv;reports/closure_v1/09_planning/planning_sensitivity.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
H5a:H_D_clarity_strong_vs_no_action,Planning capability,E9,observation_weighted_mean_exact_common_origins_all_horizons,locked_location_holdout,clarity_strong_vs_no_action,model_unavailable,13464,0,delta_objective_vs_no_action,,,D,not_confirmed_scientifically,NO_SHARED_SUCCESS_OR_ESTIMABLE_RANKING,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv;reports/closure_v1/09_planning/planning_bootstrap.csv;reports/closure_v1/09_planning/planning_sensitivity.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
H5a:H_D_nutrient_clarity_mild_vs_no_action,Planning capability,E9,observation_weighted_mean_exact_common_origins_all_horizons,locked_location_holdout,nutrient_clarity_mild_vs_no_action,model_unavailable,13464,0,delta_objective_vs_no_action,,,D,not_confirmed_scientifically,NO_SHARED_SUCCESS_OR_ESTIMABLE_RANKING,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv;reports/closure_v1/09_planning/planning_bootstrap.csv;reports/closure_v1/09_planning/planning_sensitivity.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
H5a:H_D_nutrient_clarity_strong_vs_no_action,Planning capability,E9,observation_weighted_mean_exact_common_origins_all_horizons,locked_location_holdout,nutrient_clarity_strong_vs_no_action,model_unavailable,13464,0,delta_objective_vs_no_action,,,D,not_confirmed_scientifically,NO_SHARED_SUCCESS_OR_ESTIMABLE_RANKING,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv;reports/closure_v1/09_planning/planning_bootstrap.csv;reports/closure_v1/09_planning/planning_sensitivity.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
H5a:H_D_oxygen_support_05_vs_no_action,Planning capability,E9,observation_weighted_mean_exact_common_origins_all_horizons,locked_location_holdout,oxygen_support_05_vs_no_action,model_unavailable,13464,0,delta_objective_vs_no_action,,,D,not_confirmed_scientifically,NO_SHARED_SUCCESS_OR_ESTIMABLE_RANKING,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv;reports/closure_v1/09_planning/planning_bootstrap.csv;reports/closure_v1/09_planning/planning_sensitivity.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
H5a:H_D_tn_reduction_10_vs_no_action,Planning capability,E9,observation_weighted_mean_exact_common_origins_all_horizons,locked_location_holdout,tn_reduction_10_vs_no_action,model_unavailable,13464,0,delta_objective_vs_no_action,,,D,not_confirmed_scientifically,NO_SHARED_SUCCESS_OR_ESTIMABLE_RANKING,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv;reports/closure_v1/09_planning/planning_bootstrap.csv;reports/closure_v1/09_planning/planning_sensitivity.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
H5a:H_D_tp_reduction_10_vs_no_action,Planning capability,E9,observation_weighted_mean_exact_common_origins_all_horizons,locked_location_holdout,tp_reduction_10_vs_no_action,model_unavailable,13464,0,delta_objective_vs_no_action,,,D,not_confirmed_scientifically,NO_SHARED_SUCCESS_OR_ESTIMABLE_RANKING,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv;reports/closure_v1/09_planning/planning_bootstrap.csv;reports/closure_v1/09_planning/planning_sensitivity.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
H5a:H_D_tp_reduction_25_vs_no_action,Planning capability,E9,observation_weighted_mean_exact_common_origins_all_horizons,locked_location_holdout,tp_reduction_25_vs_no_action,model_unavailable,13464,0,delta_objective_vs_no_action,,,D,not_confirmed_scientifically,NO_SHARED_SUCCESS_OR_ESTIMABLE_RANKING,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv;reports/closure_v1/09_planning/planning_bootstrap.csv;reports/closure_v1/09_planning/planning_sensitivity.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
H5a:H_D_tp_tn_reduction_10_vs_no_action,Planning capability,E9,observation_weighted_mean_exact_common_origins_all_horizons,locked_location_holdout,tp_tn_reduction_10_vs_no_action,model_unavailable,13464,0,delta_objective_vs_no_action,,,D,not_confirmed_scientifically,NO_SHARED_SUCCESS_OR_ESTIMABLE_RANKING,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv;reports/closure_v1/09_planning/planning_bootstrap.csv;reports/closure_v1/09_planning/planning_sensitivity.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
H5b:H_D_clarity_mild_vs_no_action,Net planning benefit,E9,observation_weighted_mean_exact_common_origins_all_horizons,locked_location_holdout,clarity_mild_vs_no_action,not_applicable,13464,0,delta_objective_vs_no_action,,,,not_estimable,NET_BENEFIT_ENDPOINT_NOT_REGISTERED_NO_CAUSAL_OR_UTILITY_ESTIMAND,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv;reports/closure_v1/09_planning/planning_bootstrap.csv;reports/closure_v1/09_planning/planning_sensitivity.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
H5b:H_D_clarity_strong_vs_no_action,Net planning benefit,E9,observation_weighted_mean_exact_common_origins_all_horizons,locked_location_holdout,clarity_strong_vs_no_action,not_applicable,13464,0,delta_objective_vs_no_action,,,,not_estimable,NET_BENEFIT_ENDPOINT_NOT_REGISTERED_NO_CAUSAL_OR_UTILITY_ESTIMAND,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv;reports/closure_v1/09_planning/planning_bootstrap.csv;reports/closure_v1/09_planning/planning_sensitivity.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
H5b:H_D_nutrient_clarity_mild_vs_no_action,Net planning benefit,E9,observation_weighted_mean_exact_common_origins_all_horizons,locked_location_holdout,nutrient_clarity_mild_vs_no_action,not_applicable,13464,0,delta_objective_vs_no_action,,,,not_estimable,NET_BENEFIT_ENDPOINT_NOT_REGISTERED_NO_CAUSAL_OR_UTILITY_ESTIMAND,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv;reports/closure_v1/09_planning/planning_bootstrap.csv;reports/closure_v1/09_planning/planning_sensitivity.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
H5b:H_D_nutrient_clarity_strong_vs_no_action,Net planning benefit,E9,observation_weighted_mean_exact_common_origins_all_horizons,locked_location_holdout,nutrient_clarity_strong_vs_no_action,not_applicable,13464,0,delta_objective_vs_no_action,,,,not_estimable,NET_BENEFIT_ENDPOINT_NOT_REGISTERED_NO_CAUSAL_OR_UTILITY_ESTIMAND,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv;reports/closure_v1/09_planning/planning_bootstrap.csv;reports/closure_v1/09_planning/planning_sensitivity.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
H5b:H_D_oxygen_support_05_vs_no_action,Net planning benefit,E9,observation_weighted_mean_exact_common_origins_all_horizons,locked_location_holdout,oxygen_support_05_vs_no_action,not_applicable,13464,0,delta_objective_vs_no_action,,,,not_estimable,NET_BENEFIT_ENDPOINT_NOT_REGISTERED_NO_CAUSAL_OR_UTILITY_ESTIMAND,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv;reports/closure_v1/09_planning/planning_bootstrap.csv;reports/closure_v1/09_planning/planning_sensitivity.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
H5b:H_D_tn_reduction_10_vs_no_action,Net planning benefit,E9,observation_weighted_mean_exact_common_origins_all_horizons,locked_location_holdout,tn_reduction_10_vs_no_action,not_applicable,13464,0,delta_objective_vs_no_action,,,,not_estimable,NET_BENEFIT_ENDPOINT_NOT_REGISTERED_NO_CAUSAL_OR_UTILITY_ESTIMAND,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv;reports/closure_v1/09_planning/planning_bootstrap.csv;reports/closure_v1/09_planning/planning_sensitivity.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
H5b:H_D_tp_reduction_10_vs_no_action,Net planning benefit,E9,observation_weighted_mean_exact_common_origins_all_horizons,locked_location_holdout,tp_reduction_10_vs_no_action,not_applicable,13464,0,delta_objective_vs_no_action,,,,not_estimable,NET_BENEFIT_ENDPOINT_NOT_REGISTERED_NO_CAUSAL_OR_UTILITY_ESTIMAND,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv;reports/closure_v1/09_planning/planning_bootstrap.csv;reports/closure_v1/09_planning/planning_sensitivity.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
H5b:H_D_tp_reduction_25_vs_no_action,Net planning benefit,E9,observation_weighted_mean_exact_common_origins_all_horizons,locked_location_holdout,tp_reduction_25_vs_no_action,not_applicable,13464,0,delta_objective_vs_no_action,,,,not_estimable,NET_BENEFIT_ENDPOINT_NOT_REGISTERED_NO_CAUSAL_OR_UTILITY_ESTIMAND,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv;reports/closure_v1/09_planning/planning_bootstrap.csv;reports/closure_v1/09_planning/planning_sensitivity.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
H5b:H_D_tp_tn_reduction_10_vs_no_action,Net planning benefit,E9,observation_weighted_mean_exact_common_origins_all_horizons,locked_location_holdout,tp_tn_reduction_10_vs_no_action,not_applicable,13464,0,delta_objective_vs_no_action,,,,not_estimable,NET_BENEFIT_ENDPOINT_NOT_REGISTERED_NO_CAUSAL_OR_UTILITY_ESTIMAND,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv;reports/closure_v1/09_planning/planning_bootstrap.csv;reports/closure_v1/09_planning/planning_sensitivity.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
