hypothesis_id,hypothesis_text,decisive_experiments,estimand,population,model_or_pair,availability_state,attempted_denominator,successful_denominator,metric,estimate,uncertainty,multiplicity_family,verdict,limitation_code,evidence_paths,authority_commit
H1:B2_vs_B1:proxy:h1:severe_error_rate,Interpretable and usable ANFIS,E7;E4,descriptive_five_seed_mean_difference,location_holdout_future_chla_operational_proxy,B2_vs_B1:proxy:h1,descriptive_available,5,5,delta_severe_error_rate_B2_minus_B1,-0.1594,,,limited_descriptive_support,AUXILIARY_B1_B2_TROPHIC_CONTEXT_DOES_NOT_VALIDATE_THE_PRIMARY_ANFIS_BRANCH_OR_EXTERNAL_TRANSFER,reports/closure_v1/04_trophic/trophic_proxy_metrics.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
H1:B2_vs_B1:proxy:h2:macro_f1,Interpretable and usable ANFIS,E7;E4,descriptive_five_seed_mean_difference,location_holdout_future_chla_operational_proxy,B2_vs_B1:proxy:h2,descriptive_available,5,5,delta_macro_f1_B2_minus_B1,0.1496,,,limited_descriptive_support,AUXILIARY_B1_B2_TROPHIC_CONTEXT_DOES_NOT_VALIDATE_THE_PRIMARY_ANFIS_BRANCH_OR_EXTERNAL_TRANSFER,reports/closure_v1/04_trophic/trophic_proxy_metrics.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
H1:B2_vs_B1:proxy:h2:ordinal_mae,Interpretable and usable ANFIS,E7;E4,descriptive_five_seed_mean_difference,location_holdout_future_chla_operational_proxy,B2_vs_B1:proxy:h2,descriptive_available,5,5,delta_ordinal_mae_B2_minus_B1,-0.4177,,,limited_descriptive_support,AUXILIARY_B1_B2_TROPHIC_CONTEXT_DOES_NOT_VALIDATE_THE_PRIMARY_ANFIS_BRANCH_OR_EXTERNAL_TRANSFER,reports/closure_v1/04_trophic/trophic_proxy_metrics.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
H1:B2_vs_B1:proxy:h2:quadratic_weighted_kappa,Interpretable and usable ANFIS,E7;E4,descriptive_five_seed_mean_difference,location_holdout_future_chla_operational_proxy,B2_vs_B1:proxy:h2,descriptive_available,5,5,delta_quadratic_weighted_kappa_B2_minus_B1,0.3513,,,limited_descriptive_support,AUXILIARY_B1_B2_TROPHIC_CONTEXT_DOES_NOT_VALIDATE_THE_PRIMARY_ANFIS_BRANCH_OR_EXTERNAL_TRANSFER,reports/closure_v1/04_trophic/trophic_proxy_metrics.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
H1:B2_vs_B1:proxy:h2:severe_error_rate,Interpretable and usable ANFIS,E7;E4,descriptive_five_seed_mean_difference,location_holdout_future_chla_operational_proxy,B2_vs_B1:proxy:h2,descriptive_available,5,5,delta_severe_error_rate_B2_minus_B1,-0.1918,,,limited_descriptive_support,AUXILIARY_B1_B2_TROPHIC_CONTEXT_DOES_NOT_VALIDATE_THE_PRIMARY_ANFIS_BRANCH_OR_EXTERNAL_TRANSFER,reports/closure_v1/04_trophic/trophic_proxy_metrics.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
H1:B2_vs_B1:proxy:h3:macro_f1,Interpretable and usable ANFIS,E7;E4,descriptive_five_seed_mean_difference,location_holdout_future_chla_operational_proxy,B2_vs_B1:proxy:h3,descriptive_available,5,5,delta_macro_f1_B2_minus_B1,0.1460,,,limited_descriptive_support,AUXILIARY_B1_B2_TROPHIC_CONTEXT_DOES_NOT_VALIDATE_THE_PRIMARY_ANFIS_BRANCH_OR_EXTERNAL_TRANSFER,reports/closure_v1/04_trophic/trophic_proxy_metrics.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
H1:B2_vs_B1:proxy:h3:ordinal_mae,Interpretable and usable ANFIS,E7;E4,descriptive_five_seed_mean_difference,location_holdout_future_chla_operational_proxy,B2_vs_B1:proxy:h3,descriptive_available,5,5,delta_ordinal_mae_B2_minus_B1,-0.4591,,,limited_descriptive_support,AUXILIARY_B1_B2_TROPHIC_CONTEXT_DOES_NOT_VALIDATE_THE_PRIMARY_ANFIS_BRANCH_OR_EXTERNAL_TRANSFER,reports/closure_v1/04_trophic/trophic_proxy_metrics.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
H1:B2_vs_B1:proxy:h3:quadratic_weighted_kappa,Interpretable and usable ANFIS,E7;E4,descriptive_five_seed_mean_difference,location_holdout_future_chla_operational_proxy,B2_vs_B1:proxy:h3,descriptive_available,5,5,delta_quadratic_weighted_kappa_B2_minus_B1,0.4179,,,limited_descriptive_support,AUXILIARY_B1_B2_TROPHIC_CONTEXT_DOES_NOT_VALIDATE_THE_PRIMARY_ANFIS_BRANCH_OR_EXTERNAL_TRANSFER,reports/closure_v1/04_trophic/trophic_proxy_metrics.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
H1:B2_vs_B1:proxy:h3:severe_error_rate,Interpretable and usable ANFIS,E7;E4,descriptive_five_seed_mean_difference,location_holdout_future_chla_operational_proxy,B2_vs_B1:proxy:h3,descriptive_available,5,5,delta_severe_error_rate_B2_minus_B1,-0.2107,,,limited_descriptive_support,AUXILIARY_B1_B2_TROPHIC_CONTEXT_DOES_NOT_VALIDATE_THE_PRIMARY_ANFIS_BRANCH_OR_EXTERNAL_TRANSFER,reports/closure_v1/04_trophic/trophic_proxy_metrics.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
H1:E7:learning_curve:16384,Interpretable and usable ANFIS,E7;E4,predeclared_training_size_saturation_diagnostic,closure_v1_development_ANFIS_modules,A1:training_rows_16384,insufficient_support,1,0,learning_curve_completed,,,,limited_descriptive_support,TRAINING_SIZE_NOT_COMPLETED_NO_SATURATION_CLAIM,reports/closure_v1/07_anfis_ablation_evaluation/anfis_learning_curve.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
