profile,epoch,training_loss,probabilistic_validation_loss,best_probabilistic_validation_loss,best_epoch,epochs_without_improvement,batch_order_sha256
v2_primary,38,-1.8728641175126468,-1.8458518334261076,-1.8482420819950856,28,10,16f07f482f31d673212c6e130254bcbe486e6ac956e0439f2a9110716ac45a19
legacy_diagnostic,1,0.12438081310305286,0.08190692961215973,0.08190692961215973,1,0,475344e7694753ebff83f0f2f07a447693b2bdf190c30d8a7f161783f706c4f1
legacy_diagnostic,2,0.04793177690050336,0.010171063244342804,0.010171063244342804,2,0,a801d932b546dd3b97d5291cfc51e4b9a4b5b92d51044a8f6162b837dffbf2e7
legacy_diagnostic,3,-0.032510084683071545,-0.07808863371610641,-0.07808863371610641,3,0,223ab0f511c2443d83efc75df5b3af4b8b4a4c5fd1f27b8694ac25a7b45a8f53
legacy_diagnostic,4,-0.1427447725497662,-0.2234497368335724,-0.2234497368335724,4,0,c4ca8e9fab58504f6447cf9768d7e60588506689d2f00ab3fcb2e4d40c7cfb6e
legacy_diagnostic,5,-0.34159406603611076,-0.5105739831924438,-0.5105739831924438,5,0,7b6e6b8df495e6f06d53819ed0f66a43fa9ad7c5bcf07a57a7e9036f68ebc8ed
legacy_diagnostic,6,-0.6933259090983561,-0.8891395926475525,-0.8891395926475525,6,0,6362326c389cdc08d455f59bcc0479617a8e92e5e70fa7a97adee755a554eeef
legacy_diagnostic,7,-0.9460199554494968,-0.958182692527771,-0.958182692527771,7,0,7aa1373170bc2ef7e574d5c17328241a7f9d4645f999642ad0b480b1fd79365b
legacy_diagnostic,8,-0.9875406657779755,-1.0476768016815186,-1.0476768016815186,8,0,c04b2fb04919cf840863bc3fc3851b9dfe486619e4300d07678cf9011e747c76
legacy_diagnostic,9,-1.0785193974457192,-1.162827730178833,-1.162827730178833,9,0,8a3d2fa53efeaf46e724cd9685a1d275e44e19b6e43458e40392b1c73d2bcdd9
