model_id,base_seed,predictor,coefficient_log_odds,odds_ratio,standardization,rows,eligible_rows,noneligible_rows,iterations,converged,ridge_penalty,log_loss,brier,roc_auc_descriptive
P0,1729,historical_bloom_presence,-0.08820412276011383,0.9155739681623593,one_population_sd,9413,8925,488,7,True,0.001,0.20109893365516918,0.04888890879506814,0.5903505992560959
P0,1729,intercept,2.959935196817649,19.296721226039665,none,9413,8925,488,7,True,0.001,0.20109893365516918,0.04888890879506814,0.5903505992560959
P0,1729,log1p_series_length_months,0.105389216235259,1.1111430010992203,one_population_sd,9413,8925,488,7,True,0.001,0.20109893365516918,0.04888890879506814,0.5903505992560959
P0,1729,model_selection_role,-0.009941112412070944,0.9901081371124625,one_population_sd,9413,8925,488,7,True,0.001,0.20109893365516918,0.04888890879506814,0.5903505992560959
P0,1729,month_cos,-0.15802437190460267,0.8538289722766376,one_population_sd,9413,8925,488,7,True,0.001,0.20109893365516918,0.04888890879506814,0.5903505992560959
P0,1729,month_sin,0.08693111947271215,1.0908215407675972,one_population_sd,9413,8925,488,7,True,0.001,0.20109893365516918,0.04888890879506814,0.5903505992560959
P0,1729,origin_delta_yF,-0.037994965611987314,0.9627177875738888,one_population_sd,9413,8925,488,7,True,0.001,0.20109893365516918,0.04888890879506814,0.5903505992560959
P0,1729,origin_delta_yN,-0.08330768156770732,0.9200680156957161,one_population_sd,9413,8925,488,7,True,0.001,0.20109893365516918,0.04888890879506814,0.5903505992560959
P0,1729,origin_delta_yT,-0.051440751216316125,0.9498599263403353,one_population_sd,9413,8925,488,7,True,0.001,0.20109893365516918,0.04888890879506814,0.5903505992560959
P0,1729,origin_sigma_F,-0.0638898203082472,0.9381083543261356,one_population_sd,9413,8925,488,7,True,0.001,0.20109893365516918,0.04888890879506814,0.5903505992560959
P0,1729,origin_sigma_N,0.07658683250441299,1.0795959302856502,one_population_sd,9413,8925,488,7,True,0.001,0.20109893365516918,0.04888890879506814,0.5903505992560959
P0,1729,origin_sigma_T,0.02433068486254027,1.0246290912041107,one_population_sd,9413,8925,488,7,True,0.001,0.20109893365516918,0.04888890879506814,0.5903505992560959
P0,1729,origin_yF,-0.005351926881005063,0.9946623691644976,one_population_sd,9413,8925,488,7,True,0.001,0.20109893365516918,0.04888890879506814,0.5903505992560959
