model_id,base_seed,time_role,origin_year_month,intent_rows,complete_case_rows,noneligible_rows,noneligible_fraction
P0,1729,training,1982-02,1,1,0,0.0
P0,1729,training,1982-03,1,1,0,0.0
P0,1729,training,1982-04,1,1,0,0.0
P0,1729,training,1982-05,1,1,0,0.0
P0,1729,training,1982-06,1,1,0,0.0
P0,1729,training,1982-07,4,4,0,0.0
P0,1729,training,1982-08,6,6,0,0.0
P0,1729,training,1982-09,1,0,1,1.0
P0,1729,training,1982-12,4,4,0,0.0
P0,1729,training,1983-01,5,5,0,0.0
P0,1729,training,1983-02,5,4,1,0.2
P0,1729,training,1983-03,4,4,0,0.0
P0,1729,training,1983-04,4,4,0,0.0
P0,1729,training,1983-05,4,4,0,0.0
P0,1729,training,1983-06,4,4,0,0.0
P0,1729,training,1983-07,4,4,0,0.0
P0,1729,training,1983-08,4,4,0,0.0
P0,1729,training,1983-09,4,4,0,0.0
P0,1729,training,1983-10,10,4,6,0.6
P0,1729,training,1983-11,4,4,0,0.0
P0,1729,training,1983-12,24,24,0,0.0
P0,1729,training,1984-01,24,24,0,0.0
P0,1729,training,1984-02,24,24,0,0.0
P0,1729,training,1984-03,26,26,0,0.0
P0,1729,training,1984-04,26,26,0,0.0
P0,1729,training,1984-05,26,26,0,0.0
P0,1729,training,1984-06,26,26,0,0.0
P0,1729,training,1984-07,26,26,0,0.0
P0,1729,training,1984-08,27,27,0,0.0
P0,1729,training,1984-09,27,20,7,0.25925925925925924
P0,1729,training,1984-10,20,14,6,0.3
P0,1729,training,1984-11,14,14,0,0.0
P0,1729,training,1984-12,14,14,0,0.0
P0,1729,training,1985-01,14,14,0,0.0
P0,1729,training,1985-02,14,14,0,0.0
P0,1729,training,1985-03,14,14,0,0.0
P0,1729,training,1985-04,14,14,0,0.0
P0,1729,training,1985-05,14,7,7,0.5
P0,1729,training,1985-06,7,4,3,0.42857142857142855
P0,1729,training,1985-07,3,2,1,0.3333333333333333
P0,1729,training,1985-08,2,2,0,0.0
P0,1729,training,1985-09,2,2,0,0.0
P0,1729,training,1985-10,2,2,0,0.0
P0,1729,training,1985-11,2,2,0,0.0
P0,1729,training,1985-12,2,2,0,0.0
P0,1729,training,1986-01,2,2,0,0.0
P0,1729,training,1986-02,2,2,0,0.0
P0,1729,training,1986-03,2,2,0,0.0
P0,1729,training,1986-04,2,2,0,0.0
P0,1729,training,1986-05,2,2,0,0.0
P0,1729,training,1986-06,3,3,0,0.0
P0,1729,training,1986-07,7,7,0,0.0
P0,1729,training,1986-08,8,8,0,0.0
P0,1729,training,1986-09,8,6,2,0.25
P0,1729,training,1986-10,6,6,0,0.0
P0,1729,training,1986-11,8,8,0,0.0
P0,1729,training,1986-12,8,8,0,0.0
P0,1729,training,1987-01,8,8,0,0.0
