split,target,pipe_rows,pipe_rmse,pipe_mae,persistence_rows,persistence_rmse,persistence_mae,rmse_delta_pipe_minus_persistence,mae_delta_pipe_minus_persistence,rmse_relative_improvement,mae_relative_improvement
test,all,40606,0.11549403913866126,0.062017290411005295,40606,0.15473810443367164,0.07531701847694604,-0.039244065295010386,-0.013299728065940743,0.2536160400739064,0.17658330527265478
test,delta_yF,40606,0.09797265003127023,0.04513837698967605,40606,0.16777462421827066,0.07038734669140273,-0.06980197418700043,-0.02524896970172668,0.41604607676659006,0.35871461119887116
test,delta_yN,40606,0.08182295866279804,0.0349733685411409,40606,0.14831957360711379,0.057629119215715514,-0.06649661494431575,-0.022655750674574614,0.4483333745312655,0.39313026093233033
test,delta_yT,40606,0.2235841737623109,0.16236445749122475,40606,0.40105226373797886,0.2411846125598784,-0.17746808997566796,-0.07882015506865364,0.4425061420214646,0.3268042444004803
test,sigma_F,40606,0.05466339859813437,0.01801815088386049,40606,0.05466339010592568,0.01801817549234225,8.492208693200443e-09,-2.46084817627501e-08,-1.5535459247486118e-07,1.3657588013397215e-06
test,sigma_N,40606,0.09499312990680671,0.026488755962704575,40606,0.0949931537164456,0.02648876644938315,-2.3809638885485818e-08,-1.0486678574117558e-08,2.506458408208822e-07,3.958915411994115e-07
test,sigma_T,40606,0.07768060636718943,0.04490761765586809,40606,0.07983995880527321,0.04390111030396885,-0.002159352438083781,0.0010065073518992426,0.027046011425812026,-0.022926694676518238
test,yF,40606,0.09756968179646412,0.04227555584468343,40606,0.10395423135036153,0.041857986446218735,-0.006384549553897403,0.0004175693984646914,0.06141692811309695,-0.009975859660645781
test,yN,40606,0.0814543356758205,0.034048657731305776,40606,0.09003857954387051,0.033984027573094606,-0.008584243868050012,6.463015821116941e-05,0.09533961898929574,-0.0019017804194090744
test,yT,40606,0.22970541744715695,0.1499406725985836,40606,0.2520071648178048,0.14440202156051013,-0.02230174737064783,0.005538651038073467,0.08849648138683464,-0.03835577215761175
train,all,602390,0.10383638614024432,0.054873365190628715,602390,0.14220075557814615,0.06731407917521219,-0.038364369437901835,-0.012440713984583476,0.26979019402480436,0.18481592761896767
train,delta_yF,602390,0.08842939775560014,0.034769664020260015,602390,0.15764638440830023,0.05510271786001793,-0.06921698665270008,-0.020333053839757913,0.4390648533583225,0.3690027394186196
train,delta_yN,602390,0.048613276094435436,0.011819410930047715,602390,0.08759266788685605,0.01604976658364713,-0.03897939179242061,-0.004230355653599416,0.4450074730315386,0.26357739419772386
train,delta_yT,602390,0.24026167865947323,0.17463864091046669,602390,0.4382016904888491,0.2689258788048871,-0.19794001182937587,-0.09428723789442042,0.45170983162697964,0.3506067854586368
train,sigma_F,602390,0.048275041851537526,0.014045961244851284,602390,0.048275056161355814,0.01404598835809779,-1.430981828864919e-08,-2.7113246505588995e-08,2.9642261297055105e-07,1.9303195912132215e-06
train,sigma_N,602390,0.04877699783270577,0.007204622552796948,602390,0.04877700425888252,0.007204626472839014,-6.426176750451429e-09,-3.920042066125895e-09,1.3174603172315965e-07,5.441006665514452e-07
train,sigma_T,602390,0.07364774060848128,0.04466827312913968,602390,0.07586438328142402,0.04411728846686588,-0.002216642672942734,0.0005509846622738027,0.029218489323507048,-0.012489087190560626
train,yF,602390,0.08937031179632526,0.03227110076703411,602390,0.09687809983331058,0.032349966738765196,-0.007507788036985319,-7.886597173108884e-05,0.07749726769933858,0.0024378996234510246
train,yN,602390,0.047728192063715105,0.01114828303471396,602390,0.05279881525128069,0.00933788155581631,-0.005070623187565584,0.0018104014788976486,0.09603668497926364,-0.19387710885773649
train,yT,602390,0.24942483859992506,0.16329433012634803,602390,0.27377269863305626,0.15869259773597327,-0.02434786003313119,0.0046017323903747576,0.08893458023645075,-0.02899777592670671
validation,all,54637,0.11347657007985663,0.0611258435597405,54637,0.15367174883954032,0.07538952986084069,-0.04019517875968369,-0.014263686301100184,0.26156518073894214,0.1891998308973289
validation,delta_yF,54637,0.08911513201564529,0.0380320360325553,54637,0.15583689078548624,0.05972854160498289,-0.06672175876984095,-0.021696505572427596,0.4281512447632524,0.3632518891205867
validation,delta_yN,54637,0.0650372693173693,0.026097983011143477,54637,0.11787300925813712,0.041973516833983024,-0.05283573994076782,-0.015875533822839547,0.44824290372581976,0.3782273924205998
validation,delta_yT,54637,0.24275681168737948,0.17665746481375802,54637,0.44502543302352476,0.27486826971447476,-0.2022686213361453,-0.09821080490071674,0.4545102511600793,0.35730135385483125
validation,sigma_F,54637,0.04591173252270488,0.014179817611778398,54637,0.04591174306402961,0.014179847578434657,-1.0541324729773649e-08,-2.996665625885908e-08,2.2959975000453513e-07,2.1133271068748093e-06
validation,sigma_N,54637,0.08036204981273466,0.018734543944512655,54637,0.08036206052241976,0.01873454201554253,-1.0709685097087807e-08,1.9289701259916914e-09,1.3326792552936062e-07,-1.0296329231808183e-07
validation,sigma_T,54637,0.09598987482552311,0.05235758963538348,54637,0.09867668060707997,0.05123977349575359,-0.0026868057815568613,0.0011178161396298847,0.0272283761981763,-0.021815399705514344
validation,yF,54637,0.08738966202349827,0.03469266817209598,54637,0.09412409065935806,0.03482830689805052,-0.006734428635859796,-0.00013563872595453996,0.07154840581920928,0.0038944966906252973
validation,yN,54637,0.06519591816165336,0.025200675407758902,54637,0.0712935839735016,0.024354690351490925,-0.0060976658118482435,0.0008459850562679769,0.08552895607148356,-0.034736021852816865
validation,yT,54637,0.24953068035220138,0.16417981340867838,54637,0.27394224766232583,0.15859828025485323,-0.02441156731012445,0.005581533153825147,0.08911209394841245,-0.035192898339478355
