split,target,rows,rmse,mae,nll,interval_90_coverage,interval_90_mean_width
train,all,602390,0.10383638614024432,0.054873365190628715,-2.9517858338462313,0.9479967758060024,0.3088593284755412
train,yN,602390,0.047728192063715105,0.01114828303471396,-4.296040961692492,0.9875180530885307,0.08085363519114762
train,yF,602390,0.08937031179632526,0.03227110076703411,-3.209577684268373,0.9642308139245339,0.26869931766957916
train,yT,602390,0.24942483859992506,0.16329433012634803,-0.9042520918384088,0.8859908033001875,0.7985095998364166
train,sigma_N,602390,0.04877699783270577,0.007204622552796948,-4.267514947213551,0.9902837032487259,0.08986732256076284
train,sigma_F,602390,0.048275041851537526,0.014045961244851284,-3.321890816742127,0.9801025913444779,0.1633799439231409
train,sigma_T,602390,0.07364774060848128,0.04466827312913968,-2.1454177061323567,0.8715068311226946,0.2393705740874047
train,delta_yN,602390,0.048613276094435436,0.011819410930047715,-4.292598641167484,0.9872458042132174,0.07845119081860462
train,delta_yF,602390,0.08842939775560014,0.034769664020260015,-3.193358915594917,0.9625973206726539,0.25681923880346186
train,delta_yT,602390,0.24026167865947323,0.17463864091046669,-0.9354207399663671,0.9024950613389997,0.8037831333893526
validation,all,54637,0.11347657007985663,0.0611258435597405,-2.7482990819464397,0.9548108424693889,0.43134755239355527
validation,yN,54637,0.06519591816165336,0.025200675407758902,-3.7445729014085294,0.9746325749949668,0.1743940951776755
validation,yF,54637,0.08738966202349827,0.03469266817209598,-3.2516246944857365,0.9948935702911946,0.5336543853171611
validation,yT,54637,0.24953068035220138,0.16417981340867838,-0.8934239752787431,0.894412211505024,0.8397353306860793
validation,sigma_N,54637,0.08036204981273466,0.018734543944512655,-3.5694894450456642,0.9777074143895162,0.1887913442498902
validation,sigma_F,54637,0.04591173252270488,0.014179817611778398,-3.3783458027795237,0.9949484781375258,0.3161728764325639
validation,sigma_T,54637,0.09598987482552311,0.05235758963538348,-1.9835361182097297,0.8758899646759521,0.29952268490324496
validation,delta_yN,54637,0.0650372693173693,0.026097983011143477,-3.75037398820854,0.9752548639200542,0.16813751130776333
validation,delta_yF,54637,0.08911513201564529,0.0380320360325553,-3.247707047800998,0.9947654519830884,0.5089069728605905
validation,delta_yT,54637,0.24275681168737948,0.17665746481375802,-0.9156177643004912,0.9107930523271776,0.8528127706070291
test,all,40606,0.11549403913866126,0.062017290411005295,-2.5741009644814294,0.958402425476257,0.48111438808109125
test,yN,40606,0.0814543356758205,0.034048657731305776,-3.3895141514382305,0.9610894941634242,0.20840717821657168
test,yF,40606,0.09756968179646412,0.04227555584468343,-2.961291797312705,0.9956656651726346,0.6567195358167391
test,yT,40606,0.22970541744715695,0.1499406725985836,-0.9592416858471116,0.912426734965276,0.8457849631548832
test,sigma_N,40606,0.09499312990680671,0.026488755962704575,-3.293698265805818,0.9676156233069004,0.22732309986733218
test,sigma_F,40606,0.05466339859813437,0.01801815088386049,-3.18189795087818,0.9934246170516673,0.38574421293646377
test,sigma_T,40606,0.07768060636718943,0.04490761765586809,-2.0428046167457548,0.9090035955277546,0.3187167206133715
test,delta_yN,40606,0.08182295866279804,0.0349733685411409,-3.398771153643396,0.9625424814066886,0.20131745315188757
test,delta_yF,40606,0.09797265003127023,0.04513837698967605,-2.9647932907034598,0.9956902920750628,0.6250586175967899
test,delta_yT,40606,0.2235841737623109,0.16236445749122475,-0.9748957679582066,0.928163325616904,0.8609577113757819
