record_type,hypothesis_id,hypothesis_family,analysis_role,model_id,surface_id,endpoint,horizon_months,model_seed,seed_slot,nominal_coverage,attempted_row_count,paired_row_count,mean_winkler_delta_after_minus_before,q_c,effect_estimate,ci_lower,ci_upper,p_value,holm_family_size,status,unavailable_reason
descriptive_locked_q_group,,,descriptive,A0,closure_v1_primary,target_risk_chla_h,2,20260614,20260614,0.94999999999999996,4488,625,0.033945018981438445,2.1823340644408784,,,,,0,available,
descriptive_locked_q_group,,,descriptive,A0,closure_v1_primary,target_risk_chla_h,3,1729,1729,0.80000000000000004,4488,609,0.0050359757204718383,1.3627356074584778,,,,,0,available,
descriptive_locked_q_group,,,descriptive,A0,closure_v1_primary,target_risk_chla_h,3,1729,1729,0.90000000000000002,4488,609,0.013417854780885018,1.9101869871595254,,,,,0,available,
descriptive_locked_q_group,,,descriptive,A0,closure_v1_primary,target_risk_chla_h,3,1729,1729,0.94999999999999996,4488,609,0.0012288337110205325,2.1375637979294178,,,,,0,available,
descriptive_locked_q_group,,,descriptive,A0,closure_v1_primary,target_risk_chla_h,3,314159,314159,0.80000000000000004,4488,609,0.01265826372104051,1.4069091269984473,,,,,0,available,
descriptive_locked_q_group,,,descriptive,A0,closure_v1_primary,target_risk_chla_h,3,314159,314159,0.90000000000000002,4488,609,0.0089039288090737145,2.048091444825018,,,,,0,available,
descriptive_locked_q_group,,,descriptive,A0,closure_v1_primary,target_risk_chla_h,3,314159,314159,0.94999999999999996,4488,609,-0.01591921690722101,2.2590862259862821,,,,,0,available,
descriptive_locked_q_group,,,descriptive,A0,closure_v1_primary,target_risk_chla_h,3,20260612,20260612,0.80000000000000004,4488,609,0.0030868060650921592,1.3384956913336443,,,,,0,available,
descriptive_locked_q_group,,,descriptive,A0,closure_v1_primary,target_risk_chla_h,3,20260612,20260612,0.90000000000000002,4488,609,0.017801410479721953,1.9430883959069829,,,,,0,available,
descriptive_locked_q_group,,,descriptive,A0,closure_v1_primary,target_risk_chla_h,3,20260612,20260612,0.94999999999999996,4488,609,0.019402848637269047,2.2118242926574014,,,,,0,available,
descriptive_locked_q_group,,,descriptive,A0,closure_v1_primary,target_risk_chla_h,3,20260613,20260613,0.80000000000000004,4488,609,0.0043414993322435733,1.318127347824938,,,,,0,available,
descriptive_locked_q_group,,,descriptive,A0,closure_v1_primary,target_risk_chla_h,3,20260613,20260613,0.90000000000000002,4488,609,0.035836212676978271,1.8644335791555691,,,,,0,available,
descriptive_locked_q_group,,,descriptive,A0,closure_v1_primary,target_risk_chla_h,3,20260613,20260613,0.94999999999999996,4488,609,0.047767144398653066,2.0806546361712637,,,,,0,available,
