module,status,base_seed,module_seed,train_rows,prediction_rows,input_dimension,rule_count,epochs,curve_initial_pre_update_loss,curve_last_pre_update_loss,minimum_curve_pre_update_loss,final_checkpoint_loss,quality_gate_output_standard_deviation,quality_gate_output_scope,materialized_surface_output_standard_deviation,maximum_parameter_delta,centers_ordered,centers_in_unit_interval
ANFIS-N,passed,20260612,20260713,4096,42110,3,27,60,0.07258963584899902,0.0015381478006020188,0.0015381478006020188,0.0014963122084736824,0.24862172437064656,locked_hash_ranked_training_sample_4096,0.17146996208205093,1.39328932762146,True,True
ANFIS-F,passed,20260612,20260814,4096,42110,4,81,60,0.09115995466709137,0.0013283772859722376,0.0013283772859722376,0.001316119683906436,0.19184277876669498,locked_hash_ranked_training_sample_4096,0.19349425741917423,1.5958986282348633,True,True
ANFIS-T-no-current,passed,20260612,20261016,4096,42110,1,3,60,0.19042977690696716,0.015087109059095383,0.015087109059095383,0.014775646850466728,0.31587534525567357,locked_hash_ranked_training_sample_4096,0.31353507371411204,1.421349048614502,True,True
