phase,module,feature,membership_index,center,width
final,ANFIS-N,tp_pressure,0,0.06530192494392395,0.3956831991672516
final,ANFIS-N,tp_pressure,1,0.5915776491165161,0.19085992872714996
final,ANFIS-N,tp_pressure,2,0.909347414970398,0.31374266743659973
final,ANFIS-N,tn_pressure,0,0.05011725053191185,0.19629353284835815
final,ANFIS-N,tn_pressure,1,0.5223492383956909,0.1775932013988495
final,ANFIS-N,tn_pressure,2,0.9395074844360352,0.28505221009254456
final,ANFIS-N,ratio_imbalance_pressure,0,0.04135477542877197,0.2137356400489807
final,ANFIS-N,ratio_imbalance_pressure,1,0.6068270206451416,0.20441555976867676
final,ANFIS-N,ratio_imbalance_pressure,2,0.9678953886032104,0.18767733871936798
final,ANFIS-F,do_good,0,0.09571455419063568,0.3490275740623474
final,ANFIS-F,do_good,1,0.7406783699989319,0.3223132789134979
final,ANFIS-F,do_good,2,0.9767966270446777,0.14084190130233765
final,ANFIS-F,ph_good,0,0.0774570181965828,0.35379424691200256
final,ANFIS-F,ph_good,1,0.6768878102302551,0.30282625555992126
final,ANFIS-F,ph_good,2,0.9702028632164001,0.21446357667446136
final,ANFIS-F,turbidity_good,0,0.1412404626607895,0.577416718006134
final,ANFIS-F,turbidity_good,1,0.5200720429420471,0.11326991021633148
final,ANFIS-F,turbidity_good,2,0.9528191089630127,0.2995648682117462
final,ANFIS-F,secchi_good,0,0.06652238219976425,0.19409412145614624
final,ANFIS-F,secchi_good,1,0.6238489747047424,0.2369566708803177
final,ANFIS-F,secchi_good,2,0.9704223275184631,0.16809819638729095
final,ANFIS-T-no-current,temp_favorable,0,0.09493234008550644,0.37395012378692627
final,ANFIS-T-no-current,temp_favorable,1,0.8666500449180603,0.27571362257003784
final,ANFIS-T-no-current,temp_favorable,2,0.9858713150024414,0.09414374828338623
