reference,evaluation_cohort,evaluation_role,model_id,model_seed,seed_slot,horizon_months,attempted_row_count,ordinal_success_row_count,reference_available_row_count,evaluation_row_count,site_count,status,input_ineligible_row_count,target_unavailable_row_count,model_unavailable_row_count,numerical_failure_row_count,infrastructure_failure_row_count,not_applicable_row_count,rows,macro_f1,quadratic_weighted_kappa,ordinal_mae,severe_error_rate,recall_oligotrophic,recall_mesotrophic,recall_eutrophic,recall_hypereutrophic
tsi_tp_h,location_holdout,test,B0,1729,20260614,1,4488,0,1106,0,0,not_applicable,0,0,0,0,0,4488,0,,,,,,,,
tsi_tp_h,location_holdout,test,B0,1729,20260614,2,4488,0,1076,0,0,not_applicable,0,0,0,0,0,4488,0,,,,,,,,
tsi_tp_h,location_holdout,test,B0,1729,20260614,3,4488,0,1042,0,0,not_applicable,0,0,0,0,0,4488,0,,,,,,,,
tsi_tp_h,location_holdout,test,B1,1729,1729,1,4488,827,1106,775,38,available,0,3661,0,0,0,0,775,0.34755629079587441,0.29216885712555263,0.88645161290322583,0.22193548387096773,0.69892473118279574,0.41134751773049644,0.32783018867924529,0.19658119658119658
tsi_tp_h,location_holdout,test,B1,1729,1729,2,4488,858,1076,805,39,available,0,3630,0,0,0,0,805,0.27923586318340704,0.2312563494751102,1.0335403726708075,0.27701863354037265,0.64130434782608692,0.32867132867132864,0.22321428571428573,0.18852459016393441
tsi_tp_h,location_holdout,test,B1,1729,1729,3,4488,819,1042,767,44,available,0,3669,0,0,0,0,767,0.30656591003902783,0.25475931481055425,1.0104302477183833,0.28292046936114734,0.5636363636363636,0.32374100719424459,0.22469135802469137,0.30973451327433627
tsi_tp_h,location_holdout,test,B1,314159,314159,1,4488,827,1106,775,38,available,0,3661,0,0,0,0,775,0.31189438620899024,0.28683637277627272,0.97806451612903222,0.28387096774193549,0.86021505376344087,0.1702127659574468,0.330188679245283,0.19658119658119658
tsi_tp_h,location_holdout,test,B1,314159,314159,2,4488,858,1076,805,39,available,0,3630,0,0,0,0,805,0.27061697556819819,0.22589112130166555,1.0472049689440994,0.28074534161490683,0.66304347826086951,0.33566433566433568,0.203125,0.1721311475409836
tsi_tp_h,location_holdout,test,B1,314159,314159,3,4488,819,1042,767,44,available,0,3669,0,0,0,0,767,0.3095859114881232,0.25618204011243129,1.0052151238591918,0.2816166883963494,0.5636363636363636,0.32374100719424459,0.23209876543209876,0.30973451327433627
tsi_tp_h,location_holdout,test,B1,20260612,20260612,1,4488,827,1106,775,38,available,0,3661,0,0,0,0,775,0.35149839919976855,0.29527847866568846,0.88,0.22322580645161291,0.69892473118279574,0.40425531914893614,0.34433962264150941,0.19658119658119658
tsi_tp_h,location_holdout,test,B1,20260612,20260612,2,4488,858,1076,805,39,available,0,3630,0,0,0,0,805,0.25918105070092295,0.21807859439533972,1.0658385093167702,0.28198757763975157,0.65217391304347827,0.35664335664335667,0.16741071428571427,0.1721311475409836
tsi_tp_h,location_holdout,test,B1,20260612,20260612,3,4488,819,1042,767,44,available,0,3669,0,0,0,0,767,0.31243091685239094,0.25606319784473253,0.99869621903520212,0.2816166883963494,0.5636363636363636,0.33093525179856115,0.24444444444444444,0.2831858407079646
tsi_tp_h,location_holdout,test,B1,20260613,20260613,1,4488,827,1106,775,38,available,0,3661,0,0,0,0,775,0.35335887835887836,0.2914553288919276,0.89290322580645165,0.23096774193548386,0.69892473118279574,0.41843971631205673,0.32547169811320753,0.21367521367521367
tsi_tp_h,location_holdout,test,B1,20260613,20260613,2,4488,858,1076,805,39,available,0,3630,0,0,0,0,805,0.25575173820679853,0.21881772449274695,1.0372670807453417,0.2608695652173913,0.54347826086956519,0.40559440559440557,0.17410714285714285,0.16393442622950818
tsi_tp_h,location_holdout,test,B1,20260613,20260613,3,4488,819,1042,767,44,available,0,3669,0,0,0,0,767,0.31361159438489949,0.26503033918333074,0.9895697522816167,0.27770534550195569,0.5636363636363636,0.33812949640287771,0.24691358024691357,0.27433628318584069
