module,status,base_seed,module_seed,train_rows,prediction_rows,input_dimension,rule_count,epochs,curve_initial_pre_update_loss,curve_last_pre_update_loss,minimum_curve_pre_update_loss,final_checkpoint_loss,quality_gate_output_standard_deviation,quality_gate_output_scope,materialized_surface_output_standard_deviation,maximum_parameter_delta,centers_ordered,centers_in_unit_interval
ANFIS-N,passed,1729,1830,4096,42110,3,27,60,0.07186342030763626,0.0014777621254324913,0.0014777621254324913,0.0014378655469045043,0.24752197802348855,locked_hash_ranked_training_sample_4096,0.17150696332375415,1.3918203115463257,True,True
ANFIS-F,passed,1729,1931,4096,42110,4,81,60,0.09166345745325089,0.0013154327170923352,0.0013154327170923352,0.0013007880188524723,0.19054772696951872,locked_hash_ranked_training_sample_4096,0.19496924801283577,1.4653156995773315,True,True
ANFIS-T-no-current,passed,1729,2133,4096,42110,1,3,60,0.19238156080245972,0.015102272853255272,0.015102272853255272,0.014800227247178555,0.3177348577238118,locked_hash_ranked_training_sample_4096,0.3137709532546445,1.431380033493042,True,True
