mifal_observable_version,surface,group,mifal_variable,rows,present_rows,coverage_rate,split,horizon_months
mifal_observable_v0,observable_no_current_chla,split_horizon_months,Secchi,100,28,0.28,validation,2.0
mifal_observable_v0,observable_no_current_chla,split_horizon_months,Turb,100,12,0.12,validation,2.0
mifal_observable_v0,observable_no_current_chla,split_horizon_months,DOb,100,15,0.15,validation,2.0
mifal_observable_v0,observable_no_current_chla,split_horizon_months,Chl,100,0,0.0,validation,2.0
mifal_observable_v0,observable_no_current_chla,split_horizon_months,Chl_prev,100,67,0.67,validation,2.0
mifal_observable_v0,observable_no_current_chla,split_horizon_months,Tw,100,10,0.1,validation,3.0
mifal_observable_v0,observable_no_current_chla,split_horizon_months,TP,100,27,0.27,validation,3.0
mifal_observable_v0,observable_no_current_chla,split_horizon_months,TN,100,20,0.2,validation,3.0
mifal_observable_v0,observable_no_current_chla,split_horizon_months,Secchi,100,25,0.25,validation,3.0
mifal_observable_v0,observable_no_current_chla,split_horizon_months,Turb,100,7,0.07,validation,3.0
mifal_observable_v0,observable_no_current_chla,split_horizon_months,DOb,100,8,0.08,validation,3.0
mifal_observable_v0,observable_no_current_chla,split_horizon_months,Chl,100,0,0.0,validation,3.0
mifal_observable_v0,observable_no_current_chla,split_horizon_months,Chl_prev,100,65,0.65,validation,3.0
