mifal_observable_version,surface,split,horizon_months,rows,positive_rows,positive_rate,predicted_positive_rows,alert_rate,threshold,precision,recall,f2,mcc,pr_auc,roc_auc,brier,rmse_risk,mae_risk,interval_coverage_risk,interval_mean_width,winkler_score_risk,mean_uncertainty,mean_data_reliability,mean_confidence
mifal_observable_v0,observable_no_current_chla,test,1,100,16,0.16,95,0.95,0.5,0.16842105263157894,1.0,0.5031446540880503,0.10012523486435178,0.3333883595796916,0.7503720238095238,0.26696024041816524,0.4235916735943882,0.39273281565175777,0.7,0.6402883474664717,2.188592807395066,0.6402883474664717,0.022713395976017438,0.18371752035272737
mifal_observable_v0,observable_no_current_chla,test,2,100,17,0.17,91,0.91,0.5,0.18681318681318682,1.0,0.5345911949685535,0.1423265666773171,0.27050596895487167,0.6548547129695251,0.2696112224434393,0.43494993343482713,0.40295376992002757,0.69,0.6451512721441337,2.35138692188224,0.6451512721441337,0.026390296996139838,0.18198281842420602
mifal_observable_v0,observable_no_current_chla,test,3,100,14,0.14,95,0.95,0.5,0.12631578947368421,0.8571428571428571,0.3973509933774835,-0.17190293987564972,0.23064749933157275,0.6353820598006645,0.27314368451668325,0.4486767215439162,0.4163838634175925,0.75,0.6426599819856436,2.028414961016635,0.6426599819856436,0.023175391730542415,0.18267535392858622
mifal_observable_v0,observable_no_current_chla,validation,1,100,15,0.15,92,0.92,0.5,0.16304347826086957,1.0,0.493421052631579,0.1238760208523001,0.31379922815709194,0.76,0.26425033501132944,0.42116808983392123,0.38419875702224315,0.8,0.6358492511472654,1.817743107232379,0.6358492511472654,0.02160271530864917,0.1859517622982425
mifal_observable_v0,observable_no_current_chla,validation,2,100,11,0.11,95,0.95,0.5,0.11578947368421053,1.0,0.39568345323741005,0.08065374517945526,0.1563114562647236,0.6465781409601634,0.27194922441469505,0.4357104647294511,0.4028346813990284,0.75,0.6396872140498071,2.0083429540171247,0.6396872140498071,0.015936603829034755,0.1829245247417785
mifal_observable_v0,observable_no_current_chla,validation,3,100,16,0.16,99,0.99,0.5,0.16161616161616163,1.0,0.49079754601226994,0.04386344633065127,0.22907357404013748,0.6242559523809523,0.27273767658777087,0.44682123976050053,0.41651242489129314,0.73,0.6468944490363759,2.034521520707868,0.6468944490363759,0.016221749919947286,0.1792004027356385
