selection_task,horizon_months,model,task,selection_policy,rows,bloom_rate,pr_auc,roc_auc,brier,recall,macro_f1,rmse_risk,mae_risk
bloom,1,logistic_sgd,classification,validation max PR-AUC; tie min Brier; tie max macro-F1,163110,0.1257188400465943,0.658556018000929,0.9133765970586526,0.0876022083649739,0.6348385838291232,0.7920865961918029,,
bloom,2,persistence,classification_and_risk,validation max PR-AUC; tie min Brier; tie max macro-F1,154216,0.1277234528194221,0.4885336496677995,0.8587290977439332,0.151968467146463,0.7774280347261004,0.6867804940084474,0.3075711197075864,0.1855484102502758
bloom,3,logistic_sgd,classification,validation max PR-AUC; tie min Brier; tie max macro-F1,136038,0.127736367779591,0.5409955533238126,0.8667564657759543,0.1079364635115536,0.2208091154974966,0.6393254320362224,,
risk,1,persistence,classification_and_risk,validation min MAE risk; tie min RMSE risk,163110,0.1257188400465943,0.5695239259553765,0.8988310450313801,0.1441281460424587,0.853993952989369,0.7029136758346337,0.2703599783259295,0.1569493095199428
risk,2,persistence,classification_and_risk,validation min MAE risk; tie min RMSE risk,154216,0.1277234528194221,0.4885336496677995,0.8587290977439332,0.151968467146463,0.7774280347261004,0.6867804940084474,0.3075711197075864,0.1855484102502758
risk,3,persistence,classification_and_risk,validation min MAE risk; tie min RMSE risk,136038,0.127736367779591,0.4496303047944157,0.8374439786396404,0.1571753669692507,0.7394256776198423,0.6760758271076831,0.3288294358897163,0.2032376062680401
