epoch,training_loss,model_selection_objective,best_objective,best_epoch,epochs_without_improvement,batch_order_sha256
1,0.8116068643890195,0.9988843235834762,0.9988843235834762,1,0,8ea6297d51bff054305947df70994cc382c1ff05754489f831c998b4a8009dfe
2,0.7454776877257282,0.9921752504684539,0.9921752504684539,2,0,4f5318f169878959642e757239693c14efa5b243508343c0bb7d02796d537ec7
3,0.6726528415789254,0.9862032392180495,0.9862032392180495,3,0,f0a374945855b9cb2ab98adcd956ee58a5df4eb289af19b4f5c006b73ef8a81a
4,0.5866355603398782,0.9815755046311513,0.9815755046311513,4,0,8529bfbd4a4bf396f81390cc12945abe396a8f4844ae24048bf1523448ae920a
5,0.4800414803135821,0.9791854141266294,0.9791854141266294,5,0,3364e3d5604e75dcceeec1f24d1d6e9ee0f810d46ba7abfcc2f83af5cd511ac5
6,0.35316582523482276,0.9805384481166342,0.9791854141266294,5,1,198e0430df3a4371793b610fbe104896ca79139590f71d6ecd7c25608194b102
7,0.26295350109172366,0.9811220578669205,0.9791854141266294,5,2,ce679d4c9945b8fac5bfe07ed7a3e50c1c098d50f0186a769a1632aa3474f04f
8,0.27158504760675306,0.9749704791192916,0.9749704791192916,8,0,60dddf9e9a3615bfe71b70daf84b03ffe6ae506d1f5603d11dd2c35225db3ebb
9,0.22177379262342858,0.9676413036915912,0.9676413036915912,9,0,122a4ee99fc655ea095e95f7721092c4f4b7c5fc2162173f5fac68a88eb8f313
10,0.17550633964270093,0.9619820703247386,0.9619820703247386,10,0,a7481214bc8d3b9fe70806a1e7af455c45e4172bc2d77fbf8963b5ec77d3f1ad
11,0.15619329793663822,0.9599436694569383,0.9599436694569383,11,0,2b3507c70aff0cd2387a834b8d7dbbe6d47ab22f0b09cbee21d9b619d7cb3e8e
12,0.13523290646956407,0.9571514722145478,0.9571514722145478,12,0,f6509d9a6f11d13f9309ad75506b371e882b1822d6a39d4e0e39faca3352f284
13,0.1074784939966729,0.9460255288829499,0.9460255288829499,13,0,822ffa64bbaacd83dd59ae037e15bcf2afc899a81502b039b8414c3b1953330b
14,0.08015386420110553,0.9289168782007646,0.9289168782007646,14,0,6fe7268b52e5109c6e8df46a3ec082babb4317be0cdecbfceb3623be5d904053
15,0.062289700756101934,0.9424610326762358,0.9289168782007646,14,1,d4f7da98f9ea647398fe8b2c7a9df9ce6ebca71e6fa22b694046ff31b56aa1d0
16,0.044078038855934976,0.9438651995634645,0.9289168782007646,14,2,a3de2c8eb9f5345287047f388f348ee78ad4b81674cfbe09b185c4c13f26f394
17,0.024357239544311248,0.9365178016513465,0.9289168782007646,14,3,dd7be5f25565fbca26b41f994972e450bbe343a4755913967933c549646eb38e
18,0.007848093247220715,0.9332736644399441,0.9289168782007646,14,4,24f983592bfb5e9430077c2208128a6d5f207919b56b88b74c5ad61e92426e7d
19,-0.00337972624612996,0.9375315318582707,0.9289168782007646,14,5,20b09a841657db87e571d335e8a1066839668155f060dbbbe82eae82a0d00035
