epoch,training_loss,model_selection_objective,best_objective,best_epoch,epochs_without_improvement,batch_order_sha256
1,0.9041475789095209,0.9951318250793738,0.9951318250793738,1,0,e08365abb9a0bec9c3817ab91d3341298cf3fc864304b73118ba2903cda1a070
2,0.8338341378152813,0.9900197143113589,0.9900197143113589,2,0,65ed2c729fa6799e6af5d8b621f5e9cae8c70eba6470b3b9cfceb321fab67cf0
3,0.7647697368507359,0.9855126334066012,0.9855126334066012,3,0,c70ebe50069419abea18e436e3d499d8282786d6ac26519311b79d272aeecec0
4,0.6920503014177385,0.982265625700693,0.982265625700693,4,0,ad687ca49758a818c4026a025791913a27ea61f76ebfb827dde8cd573a81cd2c
5,0.6077685251641096,0.9803640626778232,0.9803640626778232,5,0,17cdf50e6ecb61c7d2040d4b01a65613eb03fee6ce8ec5e2f59144a8f3e81e6a
6,0.5019526730215558,0.9807951696367009,0.9803640626778232,5,1,cd0dc8128d3d5baf6f9fd00bc0c6e109a15774e4d308a61df79c5dce2136537e
7,0.3689010487724942,0.9843302617617415,0.9803640626778232,5,2,51b6cf0a3b431566f5b67d4b8c9e93c380aaa527fda51745503933220fcf2e24
8,0.25325163782888865,0.9846447501734144,0.9803640626778232,5,3,d090fc584046e3c6322edcd1352f3ffdeac3d29b15bffdf1c450dbb230aa2128
9,0.2465667233966286,0.9769176450954321,0.9769176450954321,9,0,c0416a0753751d62f29d50adc0ab600b3f932b39c3c63db6f8e68a56837cab34
10,0.2048967336169466,0.9686233586308243,0.9686233586308243,10,0,29f59c8575cb2c02a1949ba888adc49a2c7b9814dc09d0bc87af60ffb68a63d6
11,0.15135142375951832,0.964832330561727,0.964832330561727,11,0,d79dc4d3778cd41de2e63972f81ecf208f35ed3efcf100e14981b58c05915af4
12,0.13231444907445644,0.964923456019457,0.964832330561727,11,1,80b3ecdb912b6b5dfa8788533c62e5b80d9c856735fafe26c578e4e095addcea
13,0.11820036403468068,0.9638210067935007,0.9638210067935007,13,0,a92af94c692e225a4cc40c5ef149b1e67b7c382020300412346a8581de88f68e
14,0.09658938075088602,0.954918738078099,0.954918738078099,14,0,7380505be41f279ec4799b639b2484ca10c8b70c188dfc49c909cc136a785cef
15,0.07134362330267097,0.9475653569734797,0.9475653569734797,15,0,b032d7b47c949919ceb4a7ea18081f315dc185d2907139dc477a0eb66d31de22
16,0.05024980994309434,0.959187947114412,0.9475653569734797,15,1,503e1406a6719fc6df0455c52243839dfbfe70a4ef3003fd17c74652968ae9dc
17,0.03400323102382575,0.9515262871429422,0.9475653569734797,15,2,c2789a62af5b3a431408394a7b637194c1f2d738c291d011a97c9ff83be3b3b4
18,0.017914800258480208,0.9516034456872156,0.9475653569734797,15,3,1451e53cefb24559cc22db78fb1e5560d5457d29cc05ca6a677900b779df4f39
19,0.004816565238095102,0.951189951237666,0.9475653569734797,15,4,66159a2a7186c684d5c00a5e807d6c44ed18a44296fdc9bcf2c153a8dec9a140
20,-0.0050546857286608874,0.9480530741382134,0.9475653569734797,15,5,43c062c25aae1b9817f0c2b2f3fe6d20bcd0eab7f66e933cec7a721f3a2c801f
