epoch,training_loss,model_selection_objective,best_objective,best_epoch,epochs_without_improvement,batch_order_sha256
1,0.8098672515865282,1.0018613315252292,1.0018613315252292,1,0,97ed0e722d1f4b1c40df8ee15dc663d40cffc292a8e49756fb09038fe96ece65
2,0.7416249645857577,0.9973724195697083,0.9973724195697083,2,0,2463ae9947d4f60a1a67729b8bda806ea935b8eb289aadd14275e3d05d716672
3,0.6704680097320156,0.994056804697975,0.994056804697975,3,0,b61f5b934e801db61c80a94806a5aa7f284d67024c95eb30188039ff119217e4
4,0.5893390540005947,0.9927241225856347,0.9927241225856347,4,0,52caf9e34ecba8f2c7ac92330a92b42fd536e9726ecc2de934f54ffdfcd94f52
5,0.49033103785800997,0.9948152048452236,0.9927241225856347,4,1,255f82152361f7eb21971f671624879f61ce117e4680cce9ab45e30b1e66cc5c
6,0.37169318830573067,1.0009554041299924,0.9927241225856347,4,2,20b970c734c5d7b56f2f079e677749aae3b7f4fe3b1e78736282708c19456a0d
7,0.27701826383556294,0.9992781744928679,0.9927241225856347,4,3,6f745011eb22458b7fb35951c536dbc8c78e83401bdd1bb103bf0472e576ec03
8,0.27563941408393355,0.9799768119456836,0.9799768119456836,8,0,6679ea4e7e14284f30d8bec437144ce817f46e272902f3a116b1330699a0e07a
9,0.2377803315303652,0.9677319771232378,0.9677319771232378,9,0,8ddef45da1e95f04bf2cc62135136898665869a93b7f428ac4f02a602b41f94f
10,0.19331884881530512,0.9661044994949255,0.9661044994949255,10,0,e197ff1ebff7d7907e66fec4d5fc42d4a2999a422cb070beca892334f06077bc
11,0.174908491159241,0.9705262896733482,0.9661044994949255,10,1,109cdaf7e982fb055d408ff71168ad55dbacc4fb9c428c32f2823d90fb260b09
12,0.15656079221278207,0.9711872051366437,0.9661044994949255,10,2,bc92451d8b2a43bd07b081e3405c7d5e5fc6012d1698bac80520564ccf2eb28d
13,0.12908984736783716,0.956055959149238,0.956055959149238,13,0,4614553dd6cc7d9ad8dca844d7de4bcb675f11966fc50abd8662416452dc6b96
14,0.10230690276530331,0.9454366965548707,0.9454366965548707,14,0,513d766a69efccb648fa931b693b205f53272ded251d41819fbd3e2315edfafd
15,0.08274249026623434,0.9517395149281602,0.9454366965548707,14,1,d545bc0bd85004b45d88045c823ca8460cc28276b118f003fd406909f04ee2ea
16,0.06679411588170121,0.9499429399730442,0.9454366965548707,14,2,d15b92c51de9dc23831e558f2eb2001a96dc047f2b921a7b41c4e43e9ce8f55a
17,0.04698962099292515,0.9334329531036344,0.9334329531036344,17,0,24e9fcbda94fa213255b9468be7cf6f514d235faf919b56fc82c9fcdb94af995
18,0.028350337254623263,0.9412001689838392,0.9334329531036344,17,1,97e461b0d8ca3a3d9f47e6cd57ca9e85461bd54de48bdead5c79d16d4234d651
19,0.014111506696777897,0.9352080493972166,0.9334329531036344,17,2,de50739313c94ef217cbe4279ee4015388710fff89e155db934692982d6a4b5f
20,0.0016424559152214734,0.9207053160824324,0.9207053160824324,20,0,5f326c3ce4eda1ce6dc2728981d0b5f543f6131f9d2c5beb16e63c51088efa2b
