target,blend_weight,validation_rows,validation_mae,validation_rmse,selection_metric,selection_objective
yN,0.65,7079,0.07292819141011266,0.11505761405473788,balanced,1.0085423851415511
yF,0.8,7079,0.10003454319112869,0.14354742981918334,balanced,1.0041589837267395
yT,0.8,7079,0.24404988704486863,0.29793715667974074,balanced,1.0
sigma_N,0.0,7079,0.05868165886053545,0.14587030584957453,balanced,1.0007079369135659
sigma_F,0.8,7079,0.04466137143073235,0.08220530534040986,balanced,1.0076340038812026
sigma_T,0.9,7079,0.1326595251970093,0.17518472722928768,balanced,1.0120822549263035
delta_yN,1.0,7079,0.07750664021373048,0.11804780123248257,balanced,1.0043476195058074
delta_yF,1.0,7079,0.10245507557288723,0.14323875390815674,balanced,1.0031015761040596
delta_yT,1.0,7079,0.17106813575474114,0.24753753605345372,balanced,1.0
