calibration_version,target_event,split,rollout_horizon_months,score_column,threshold,rows,positive_rows,positive_rate,predicted_positive_rows,predicted_positive_rate,tn,fp,fn,tp,precision,recall,specificity,macro_f1,fbeta,pr_auc,roc_auc,brier
pipe_grud_rollout_alert_calibration_v0,bloom_h,test,1,rollout_probability_bloom_calibrated,0.14814814814814814,400,68,0.17,200,0.5,180,152,20,48,0.24,0.7058823529411765,0.5421686746987951,0.5174503422735944,0.5084745762711864,0.2874071249091963,0.6644888377037562,0.14278272232073125
pipe_grud_rollout_alert_calibration_v0,bloom_h,test,2,rollout_probability_bloom_calibrated,0.1282051282051282,393,72,0.183206106870229,189,0.48091603053435117,186,135,18,54,0.2857142857142857,0.75,0.5794392523364486,0.5611822660098522,0.5660377358490565,0.41066455748955344,0.7170733817930081,0.13735856299397942
pipe_grud_rollout_alert_calibration_v0,bloom_h,test,3,rollout_probability_bloom_calibrated,0.2073170731707317,408,69,0.16911764705882354,139,0.34068627450980393,237,102,32,37,0.26618705035971224,0.5362318840579711,0.6991150442477876,0.5676872469635628,0.44578313253012053,0.2734542755862449,0.6560429224915565,0.13868435893172212
pipe_grud_rollout_alert_calibration_v0,bloom_h,validation,1,rollout_probability_bloom_calibrated,0.14814814814814814,301,34,0.11295681063122924,151,0.5016611295681063,146,121,4,30,0.1986754966887417,0.8823529411764706,0.5468164794007491,0.5122820662389007,0.5226480836236933,0.3821211549407577,0.7757766027759417,0.0788020987410801
pipe_grud_rollout_alert_calibration_v0,bloom_h,validation,2,rollout_probability_bloom_calibrated,0.1282051282051282,327,41,0.12538226299694188,154,0.4709480122324159,160,126,13,28,0.18181818181818182,0.6829268292682927,0.5594405594405595,0.4921736215853863,0.4402515723270441,0.2735865906296638,0.6610523622718745,0.09961466198649147
pipe_grud_rollout_alert_calibration_v0,bloom_h,validation,3,rollout_probability_bloom_calibrated,0.2073170731707317,342,40,0.11695906432748537,100,0.29239766081871343,228,74,14,26,0.26,0.65,0.7549668874172185,0.6048319327731093,0.5000000000000001,0.31740761528078604,0.749048013245033,0.08870817116399629
pipe_grud_rollout_alert_calibration_v0,irc_alert,test,1,alert_probability_irc,0.34375,512,221,0.431640625,343,0.669921875,144,147,25,196,0.5714285714285714,0.8868778280542986,0.4948453608247423,0.6605612087573235,0.7986960065199673,0.7280773666875336,0.754886411344871,0.20705223083496094
pipe_grud_rollout_alert_calibration_v0,irc_alert,test,2,alert_probability_irc,0.0859375,512,225,0.439453125,509,0.994140625,3,284,0,225,0.44204322200392926,1.0,0.010452961672473868,0.31688433712299163,0.7984386089425125,0.6595558352810722,0.6882539682539683,0.22073805332183838
pipe_grud_rollout_alert_calibration_v0,irc_alert,test,3,alert_probability_irc,0.1328125,512,230,0.44921875,511,0.998046875,0,282,1,229,0.4481409001956947,0.9956521739130435,0.0,0.3090418353576248,0.8001397624039134,0.5967445156165253,0.6086262719703978,0.24124407768249512
pipe_grud_rollout_alert_calibration_v0,irc_alert,validation,1,alert_probability_irc,0.34375,512,241,0.470703125,366,0.71484375,131,140,15,226,0.6174863387978142,0.9377593360995851,0.4833948339483395,0.686471580560922,0.849624060150376,0.7649537810957289,0.8089831728192801,0.1867610216140747
pipe_grud_rollout_alert_calibration_v0,irc_alert,validation,2,alert_probability_irc,0.0859375,512,240,0.46875,511,0.998046875,1,271,0,240,0.46966731898238745,1.0,0.003676470588235294,0.32323690512771736,0.8157715839564922,0.6963374397920657,0.7172640931372549,0.21588146686553955
pipe_grud_rollout_alert_calibration_v0,irc_alert,validation,3,alert_probability_irc,0.1328125,512,241,0.470703125,512,1.0,0,271,0,241,0.470703125,1.0,0.0,0.3200531208499336,0.8163956639566395,0.6132851698366237,0.6485660914700434,0.23882782459259033
