policy_version,policy_name,target_event,split,rollout_horizon_months,score_column,threshold,rows,positive_rows,positive_rate,predicted_positive_rows,predicted_positive_rate,tn,fp,fn,tp,precision,recall,specificity,f1,macro_f1,fbeta,balanced_accuracy,mcc,gmean_pr,pr_distance,pr_auc,roc_auc,brier
pipe_grud_rollout_alert_policy_2b_v0,balanced_accuracy,bloom_h,test,1,rollout_probability_bloom_calibrated,0.13529411764705881,4673,852,0.18232398887224482,1206,0.2580783222769099,3129,692,338,514,0.4262023217247098,0.6032863849765259,0.8188955770740644,0.49951409135082603,0.6790929402967083,0.5570004334633725,0.7110909810252951,0.3725267086957396,0.5070720441336738,0.6975854556533606,0.4277018313142244,0.7802243101810725,0.12875745162981964
pipe_grud_rollout_alert_policy_2b_v0,closest_pr,bloom_h,test,1,rollout_probability_bloom_calibrated,0.1956521739130435,4673,852,0.18232398887224482,939,0.20094157928525572,3321,500,413,439,0.46751863684771033,0.5152582159624414,0.8691442030881968,0.49022892238972643,0.68469090063894,0.5049459397285484,0.6922012095253192,0.3704029827851404,0.49080833199054774,0.7200770787189631,0.4277018313142244,0.7802243101810725,0.12875745162981964
pipe_grud_rollout_alert_policy_2b_v0,f1,bloom_h,test,1,rollout_probability_bloom_calibrated,0.25,4673,852,0.18232398887224482,825,0.1765461159854483,3404,417,444,408,0.49454545454545457,0.4788732394366197,0.8908662653755561,0.4865831842576029,0.6871565028081599,0.48192771084337344,0.6848697524060879,0.37442054018910037,0.486646261535869,0.7259871886582736,0.4277018313142244,0.7802243101810725,0.12875745162981964
pipe_grud_rollout_alert_policy_2b_v0,fbeta,bloom_h,test,1,rollout_probability_bloom_calibrated,0.13333333333333333,4673,852,0.18232398887224482,1449,0.31007917825807835,2943,878,281,571,0.3940648723257419,0.67018779342723,0.7702172206228736,0.4963059539330726,0.6658960571652588,0.5878114062178299,0.7202025070250517,0.36764516746523596,0.5139041420840779,0.6898793159343299,0.4277018313142244,0.7802243101810725,0.12875745162981964
pipe_grud_rollout_alert_policy_2b_v0,gmean_pr,bloom_h,test,1,rollout_probability_bloom_calibrated,0.1956521739130435,4673,852,0.18232398887224482,939,0.20094157928525572,3321,500,413,439,0.46751863684771033,0.5152582159624414,0.8691442030881968,0.49022892238972643,0.68469090063894,0.5049459397285484,0.6922012095253192,0.3704029827851404,0.49080833199054774,0.7200770787189631,0.4277018313142244,0.7802243101810725,0.12875745162981964
pipe_grud_rollout_alert_policy_2b_v0,mcc,bloom_h,test,1,rollout_probability_bloom_calibrated,0.25,4673,852,0.18232398887224482,825,0.1765461159854483,3404,417,444,408,0.49454545454545457,0.4788732394366197,0.8908662653755561,0.4865831842576029,0.6871565028081599,0.48192771084337344,0.6848697524060879,0.37442054018910037,0.486646261535869,0.7259871886582736,0.4277018313142244,0.7802243101810725,0.12875745162981964
pipe_grud_rollout_alert_policy_2b_v0,balanced_accuracy,bloom_h,test,2,rollout_probability_bloom_calibrated,0.1875,4710,863,0.18322717622080678,1222,0.259447983014862,3132,715,356,507,0.4148936170212766,0.5874855156431055,0.814140889004419,0.48633093525179855,0.6701593326565741,0.5423620025673941,0.7008132023237623,0.3544581017835753,0.49370435539174434,0.7159034007508828,0.3931286856006242,0.7931236240425715,0.13490164862756526
pipe_grud_rollout_alert_policy_2b_v0,closest_pr,bloom_h,test,2,rollout_probability_bloom_calibrated,0.23255813953488372,4710,863,0.18322717622080678,992,0.21061571125265394,3285,562,433,430,0.4334677419354839,0.4982618771726535,0.8539121393293475,0.4636118598382749,0.6660425459138499,0.48379837983798385,0.6760870082510005,0.3341283089157666,0.46473696946828486,0.7567694122558,0.3931286856006242,0.7931236240425715,0.13490164862756526
pipe_grud_rollout_alert_policy_2b_v0,f1,bloom_h,test,2,rollout_probability_bloom_calibrated,0.28205128205128205,4710,863,0.18322717622080678,871,0.1849256900212314,3354,493,485,378,0.43398392652123996,0.4380069524913094,0.8718481933974526,0.4359861591695502,0.6543709094052279,0.43719639139486466,0.654927572944381,0.30875007409888977,0.4359907993132202,0.7976279714781939,0.3931286856006242,0.7931236240425715,0.13490164862756526
pipe_grud_rollout_alert_policy_2b_v0,fbeta,bloom_h,test,2,rollout_probability_bloom_calibrated,0.13829787234042554,4710,863,0.18322717622080678,1343,0.2851380042462845,3046,801,321,542,0.4035740878629933,0.6280417149478563,0.7917858071224331,0.4913871260199456,0.6679281069523071,0.565172054223149,0.7099137610351447,0.35973097278736793,0.5034494634518852,0.7029059926386971,0.3931286856006242,0.7931236240425715,0.13490164862756526
