policy_version,policy_name,target_event,split,rollout_horizon_months,score_column,threshold,rows,positive_rows,positive_rate,predicted_positive_rows,predicted_positive_rate,tn,fp,fn,tp,precision,recall,specificity,f1,macro_f1,fbeta,balanced_accuracy,mcc,gmean_pr,pr_distance,pr_auc,roc_auc,brier
pipe_grud_rollout_alert_policy_2b_v0,balanced_accuracy,bloom_h,test,1,rollout_probability_bloom_calibrated,0.14814814814814814,400,68,0.17,200,0.5,180,152,20,48,0.24,0.7058823529411765,0.5421686746987951,0.3582089552238806,0.5174503422735944,0.5084745762711864,0.6240255138199858,0.18635220382275072,0.4115966043420212,0.8149264938087476,0.2874071249091963,0.6644888377037562,0.14278272232073125
pipe_grud_rollout_alert_policy_2b_v0,closest_pr,bloom_h,test,1,rollout_probability_bloom_calibrated,0.14814814814814814,400,68,0.17,200,0.5,180,152,20,48,0.24,0.7058823529411765,0.5421686746987951,0.3582089552238806,0.5174503422735944,0.5084745762711864,0.6240255138199858,0.18635220382275072,0.4115966043420212,0.8149264938087476,0.2874071249091963,0.6644888377037562,0.14278272232073125
pipe_grud_rollout_alert_policy_2b_v0,f1,bloom_h,test,1,rollout_probability_bloom_calibrated,0.2222222222222222,400,68,0.17,33,0.0825,314,18,53,15,0.45454545454545453,0.22058823529411764,0.9457831325301205,0.297029702970297,0.5977280131446621,0.24590163934426226,0.583185683912119,0.22714965593571387,0.3166502481905618,0.9513166455597013,0.2874071249091963,0.6644888377037562,0.14278272232073125
pipe_grud_rollout_alert_policy_2b_v0,fbeta,bloom_h,test,1,rollout_probability_bloom_calibrated,0.14814814814814814,400,68,0.17,200,0.5,180,152,20,48,0.24,0.7058823529411765,0.5421686746987951,0.3582089552238806,0.5174503422735944,0.5084745762711864,0.6240255138199858,0.18635220382275072,0.4115966043420212,0.8149264938087476,0.2874071249091963,0.6644888377037562,0.14278272232073125
pipe_grud_rollout_alert_policy_2b_v0,gmean_pr,bloom_h,test,1,rollout_probability_bloom_calibrated,1.0,400,68,0.17,7,0.0175,328,4,65,3,0.42857142857142855,0.04411764705882353,0.9879518072289156,0.08,0.49241379310344824,0.053763440860215055,0.5160347271438696,0.09186916578522485,0.13750477455423168,1.1136613870065075,0.2874071249091963,0.6644888377037562,0.14278272232073125
pipe_grud_rollout_alert_policy_2b_v0,mcc,bloom_h,test,1,rollout_probability_bloom_calibrated,1.0,400,68,0.17,7,0.0175,328,4,65,3,0.42857142857142855,0.04411764705882353,0.9879518072289156,0.08,0.49241379310344824,0.053763440860215055,0.5160347271438696,0.09186916578522485,0.13750477455423168,1.1136613870065075,0.2874071249091963,0.6644888377037562,0.14278272232073125
pipe_grud_rollout_alert_policy_2b_v0,balanced_accuracy,bloom_h,test,2,rollout_probability_bloom_calibrated,0.1282051282051282,393,72,0.183206106870229,189,0.48091603053435117,186,135,18,54,0.2857142857142857,0.75,0.5794392523364486,0.41379310344827586,0.5611822660098522,0.5660377358490565,0.6647196261682242,0.2550633869134346,0.4629100498862757,0.7567721464434676,0.41066455748955344,0.7170733817930081,0.13735856299397942
pipe_grud_rollout_alert_policy_2b_v0,closest_pr,bloom_h,test,2,rollout_probability_bloom_calibrated,0.07692307692307693,393,72,0.183206106870229,235,0.5979643765903307,146,175,12,60,0.2553191489361702,0.8333333333333334,0.45482866043613707,0.39087947882736157,0.5002414095598186,0.5736137667304015,0.6440809968847352,0.22734896955822917,0.46126560401444255,0.7631037594711008,0.41066455748955344,0.7170733817930081,0.13735856299397942
pipe_grud_rollout_alert_policy_2b_v0,f1,bloom_h,test,2,rollout_probability_bloom_calibrated,0.14814814814814814,393,72,0.183206106870229,142,0.361323155216285,223,98,28,44,0.30985915492957744,0.6111111111111112,0.6947040498442367,0.411214953271028,0.5954676164956538,0.5116279069767442,0.6529075804776739,0.246261626458462,0.43515327467107956,0.7921672512391252,0.41066455748955344,0.7170733817930081,0.13735856299397942
pipe_grud_rollout_alert_policy_2b_v0,fbeta,bloom_h,test,2,rollout_probability_bloom_calibrated,0.1282051282051282,393,72,0.183206106870229,189,0.48091603053435117,186,135,18,54,0.2857142857142857,0.75,0.5794392523364486,0.41379310344827586,0.5611822660098522,0.5660377358490565,0.6647196261682242,0.2550633869134346,0.4629100498862757,0.7567721464434676,0.41066455748955344,0.7170733817930081,0.13735856299397942
pipe_grud_rollout_alert_policy_2b_v0,gmean_pr,bloom_h,test,2,rollout_probability_bloom_calibrated,0.075,393,72,0.183206106870229,389,0.989821882951654,4,317,0,72,0.18508997429305912,1.0,0.012461059190031152,0.3123644251626898,0.1684899048890372,0.5317577548005908,0.5062305295950156,0.04802517178675319,0.43022084362924484,0.8149100257069408,0.41066455748955344,0.7170733817930081,0.13735856299397942
pipe_grud_rollout_alert_policy_2b_v0,mcc,bloom_h,test,2,rollout_probability_bloom_calibrated,0.6666666666666666,393,72,0.183206106870229,5,0.01272264631043257,320,1,68,4,0.8,0.05555555555555555,0.9968847352024922,0.1038961038961039,0.5032879673218178,0.06825938566552901,0.5262201453790238,0.18100184028049188,0.21081851067789195,0.9653886826775914,0.41066455748955344,0.7170733817930081,0.13735856299397942
pipe_grud_rollout_alert_policy_2b_v0,balanced_accuracy,bloom_h,test,3,rollout_probability_bloom_calibrated,0.2073170731707317,408,69,0.16911764705882354,139,0.34068627450980393,237,102,32,37,0.26618705035971224,0.5362318840579711,0.6991150442477876,0.3557692307692308,0.5676872469635628,0.44578313253012053,0.6176734641528794,0.18614414855329225,0.3778068071464866,0.8680796682472172,0.2734542755862449,0.6560429224915565,0.13868435893172212
pipe_grud_rollout_alert_policy_2b_v0,closest_pr,bloom_h,test,3,rollout_probability_bloom_calibrated,0.2073170731707317,408,69,0.16911764705882354,139,0.34068627450980393,237,102,32,37,0.26618705035971224,0.5362318840579711,0.6991150442477876,0.3557692307692308,0.5676872469635628,0.44578313253012053,0.6176734641528794,0.18614414855329225,0.3778068071464866,0.8680796682472172,0.2734542755862449,0.6560429224915565,0.13868435893172212
pipe_grud_rollout_alert_policy_2b_v0,f1,bloom_h,test,3,rollout_probability_bloom_calibrated,0.2073170731707317,408,69,0.16911764705882354,139,0.34068627450980393,237,102,32,37,0.26618705035971224,0.5362318840579711,0.6991150442477876,0.3557692307692308,0.5676872469635628,0.44578313253012053,0.6176734641528794,0.18614414855329225,0.3778068071464866,0.8680796682472172,0.2734542755862449,0.6560429224915565,0.13868435893172212
pipe_grud_rollout_alert_policy_2b_v0,fbeta,bloom_h,test,3,rollout_probability_bloom_calibrated,0.2073170731707317,408,69,0.16911764705882354,139,0.34068627450980393,237,102,32,37,0.26618705035971224,0.5362318840579711,0.6991150442477876,0.3557692307692308,0.5676872469635628,0.44578313253012053,0.6176734641528794,0.18614414855329225,0.3778068071464866,0.8680796682472172,0.2734542755862449,0.6560429224915565,0.13868435893172212
pipe_grud_rollout_alert_policy_2b_v0,gmean_pr,bloom_h,test,3,rollout_probability_bloom_calibrated,0.2073170731707317,408,69,0.16911764705882354,139,0.34068627450980393,237,102,32,37,0.26618705035971224,0.5362318840579711,0.6991150442477876,0.3557692307692308,0.5676872469635628,0.44578313253012053,0.6176734641528794,0.18614414855329225,0.3778068071464866,0.8680796682472172,0.2734542755862449,0.6560429224915565,0.13868435893172212
pipe_grud_rollout_alert_policy_2b_v0,mcc,bloom_h,test,3,rollout_probability_bloom_calibrated,0.2073170731707317,408,69,0.16911764705882354,139,0.34068627450980393,237,102,32,37,0.26618705035971224,0.5362318840579711,0.6991150442477876,0.3557692307692308,0.5676872469635628,0.44578313253012053,0.6176734641528794,0.18614414855329225,0.3778068071464866,0.8680796682472172,0.2734542755862449,0.6560429224915565,0.13868435893172212
pipe_grud_rollout_alert_policy_2b_v0,balanced_accuracy,bloom_h,validation,1,rollout_probability_bloom_calibrated,0.14814814814814814,301,34,0.11295681063122924,151,0.5016611295681063,146,121,4,30,0.1986754966887417,0.8823529411764706,0.5468164794007491,0.32432432432432434,0.5122820662389007,0.5226480836236933,0.7145847102886098,0.2717000734536879,0.4186907078536702,0.8099146807268416,0.3821211549407577,0.7757766027759417,0.0788020987410801
pipe_grud_rollout_alert_policy_2b_v0,closest_pr,bloom_h,validation,1,rollout_probability_bloom_calibrated,0.14814814814814814,301,34,0.11295681063122924,151,0.5016611295681063,146,121,4,30,0.1986754966887417,0.8823529411764706,0.5468164794007491,0.32432432432432434,0.5122820662389007,0.5226480836236933,0.7145847102886098,0.2717000734536879,0.4186907078536702,0.8099146807268416,0.3821211549407577,0.7757766027759417,0.0788020987410801
pipe_grud_rollout_alert_policy_2b_v0,f1,bloom_h,validation,1,rollout_probability_bloom_calibrated,0.2222222222222222,301,34,0.11295681063122924,31,0.10299003322259136,248,19,22,12,0.3870967741935484,0.35294117647058826,0.9288389513108615,0.36923076923076925,0.6464403380604498,0.35928143712574856,0.6408900638907249,0.2934558164909521,0.36962466218021844,0.8912550057706383,0.3821211549407577,0.7757766027759417,0.0788020987410801
pipe_grud_rollout_alert_policy_2b_v0,fbeta,bloom_h,validation,1,rollout_probability_bloom_calibrated,0.14814814814814814,301,34,0.11295681063122924,151,0.5016611295681063,146,121,4,30,0.1986754966887417,0.8823529411764706,0.5468164794007491,0.32432432432432434,0.5122820662389007,0.5226480836236933,0.7145847102886098,0.2717000734536879,0.4186907078536702,0.8099146807268416,0.3821211549407577,0.7757766027759417,0.0788020987410801
pipe_grud_rollout_alert_policy_2b_v0,gmean_pr,bloom_h,validation,1,rollout_probability_bloom_calibrated,1.0,301,34,0.11295681063122924,6,0.019933554817275746,267,0,28,6,1.0,0.17647058823529413,1.0,0.3,0.6250889679715302,0.2112676056338028,0.5882352941176471,0.3996508945161231,0.42008402520840293,0.8235294117647058,0.3821211549407577,0.7757766027759417,0.0788020987410801
pipe_grud_rollout_alert_policy_2b_v0,mcc,bloom_h,validation,1,rollout_probability_bloom_calibrated,1.0,301,34,0.11295681063122924,6,0.019933554817275746,267,0,28,6,1.0,0.17647058823529413,1.0,0.3,0.6250889679715302,0.2112676056338028,0.5882352941176471,0.3996508945161231,0.42008402520840293,0.8235294117647058,0.3821211549407577,0.7757766027759417,0.0788020987410801
pipe_grud_rollout_alert_policy_2b_v0,balanced_accuracy,bloom_h,validation,2,rollout_probability_bloom_calibrated,0.1282051282051282,327,41,0.12538226299694188,154,0.4709480122324159,160,126,13,28,0.18181818181818182,0.6829268292682927,0.5594405594405595,0.28717948717948716,0.4921736215853863,0.4402515723270441,0.6211836943544261,0.1607924737193266,0.35237553038259745,0.8774718703190229,0.2735865906296638,0.6610523622718745,0.09961466198649147
pipe_grud_rollout_alert_policy_2b_v0,closest_pr,bloom_h,validation,2,rollout_probability_bloom_calibrated,0.07692307692307693,327,41,0.12538226299694188,206,0.6299694189602446,112,174,9,32,0.1553398058252427,0.7804878048780488,0.3916083916083916,0.2591093117408907,0.40473893105472053,0.43243243243243235,0.5860480982432202,0.1180374779684517,0.3481965307965116,0.8727178509865582,0.2735865906296638,0.6610523622718745,0.09961466198649147
pipe_grud_rollout_alert_policy_2b_v0,f1,bloom_h,validation,2,rollout_probability_bloom_calibrated,0.14814814814814814,327,41,0.12538226299694188,115,0.3516819571865443,194,92,18,23,0.2,0.5609756097560976,0.6783216783216783,0.2948717948717949,0.5369941303676243,0.4121863799283154,0.619648644038888,0.16595711296838295,0.33495540292883696,0.91254721260274,0.2735865906296638,0.6610523622718745,0.09961466198649147
pipe_grud_rollout_alert_policy_2b_v0,fbeta,bloom_h,validation,2,rollout_probability_bloom_calibrated,0.1282051282051282,327,41,0.12538226299694188,154,0.4709480122324159,160,126,13,28,0.18181818181818182,0.6829268292682927,0.5594405594405595,0.28717948717948716,0.4921736215853863,0.4402515723270441,0.6211836943544261,0.1607924737193266,0.35237553038259745,0.8774718703190229,0.2735865906296638,0.6610523622718745,0.09961466198649147
pipe_grud_rollout_alert_policy_2b_v0,gmean_pr,bloom_h,validation,2,rollout_probability_bloom_calibrated,0.075,327,41,0.12538226299694188,326,0.9969418960244648,1,285,0,41,0.12576687116564417,1.0,0.0034965034965034965,0.22343324250681199,0.11520094181089728,0.4183673469387755,0.5017482517482518,0.020970081181888152,0.35463625190558873,0.8742331288343559,0.2735865906296638,0.6610523622718745,0.09961466198649147
pipe_grud_rollout_alert_policy_2b_v0,mcc,bloom_h,validation,2,rollout_probability_bloom_calibrated,0.6666666666666666,327,41,0.12538226299694188,7,0.021406727828746176,284,2,36,5,0.7142857142857143,0.12195121951219512,0.993006993006993,0.20833333333333334,0.5728135313531353,0.14619883040935672,0.5574791062595941,0.2630213109880425,0.2951406680504777,0.9233646700937533,0.2735865906296638,0.6610523622718745,0.09961466198649147
pipe_grud_rollout_alert_policy_2b_v0,balanced_accuracy,bloom_h,validation,3,rollout_probability_bloom_calibrated,0.2073170731707317,342,40,0.11695906432748537,100,0.29239766081871343,228,74,14,26,0.26,0.65,0.7549668874172185,0.37142857142857144,0.6048319327731093,0.5000000000000001,0.7024834437086093,0.28611807748956314,0.41109609582188933,0.8185963596303125,0.31740761528078604,0.749048013245033,0.08870817116399629
pipe_grud_rollout_alert_policy_2b_v0,closest_pr,bloom_h,validation,3,rollout_probability_bloom_calibrated,0.2073170731707317,342,40,0.11695906432748537,100,0.29239766081871343,228,74,14,26,0.26,0.65,0.7549668874172185,0.37142857142857144,0.6048319327731093,0.5000000000000001,0.7024834437086093,0.28611807748956314,0.41109609582188933,0.8185963596303125,0.31740761528078604,0.749048013245033,0.08870817116399629
pipe_grud_rollout_alert_policy_2b_v0,f1,bloom_h,validation,3,rollout_probability_bloom_calibrated,0.2073170731707317,342,40,0.11695906432748537,100,0.29239766081871343,228,74,14,26,0.26,0.65,0.7549668874172185,0.37142857142857144,0.6048319327731093,0.5000000000000001,0.7024834437086093,0.28611807748956314,0.41109609582188933,0.8185963596303125,0.31740761528078604,0.749048013245033,0.08870817116399629
pipe_grud_rollout_alert_policy_2b_v0,fbeta,bloom_h,validation,3,rollout_probability_bloom_calibrated,0.2073170731707317,342,40,0.11695906432748537,100,0.29239766081871343,228,74,14,26,0.26,0.65,0.7549668874172185,0.37142857142857144,0.6048319327731093,0.5000000000000001,0.7024834437086093,0.28611807748956314,0.41109609582188933,0.8185963596303125,0.31740761528078604,0.749048013245033,0.08870817116399629
pipe_grud_rollout_alert_policy_2b_v0,gmean_pr,bloom_h,validation,3,rollout_probability_bloom_calibrated,0.2073170731707317,342,40,0.11695906432748537,100,0.29239766081871343,228,74,14,26,0.26,0.65,0.7549668874172185,0.37142857142857144,0.6048319327731093,0.5000000000000001,0.7024834437086093,0.28611807748956314,0.41109609582188933,0.8185963596303125,0.31740761528078604,0.749048013245033,0.08870817116399629
